NEWCASTLE ON TYNE 30 RYE HILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NZ237639,Long,-1.6313309,Lat,54.969163,Elevation,220,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,,,,2.34,1.53,1.28,2.47,1.07,1.38,2.1,0.64,3.18,3.17,1.58,0.67,,,,,,,,,
February,,,,,,,,,,1.17,1.9,1.5,1.9,2.07,0.77,1.56,2.06,2.14,1.09,2.59,1.53,,,,,,,,,
March,,,,,,,,,,1.62,1.14,0.68,3.36,1.8,0.74,0.58,2.4,3.13,1.01,0.89,1.39,,,,,,,,,
April,,,,,,,,,,1.75,0.64,3.12,2.24,0.75,0.86,0.91,2.63,4.49,1.83,2.34,2.03,,,,,,,,,
May,,,,,,,,,,2.98,1.09,1.46,1.59,2.6,3.1,0.96,1.48,2.89,2.6,2.13,1.22,,,,,,,,,
June,,,,,,,,,,1.55,1.59,2.98,2.87,1.67,0.52,1.87,1.31,1.28,1.95,3.43,1.17,,,,,,,,,
July,,,,,,,,,,0.38,0.47,2.58,2.84,2.34,1.94,5.38,1.9,2.97,0.35,4.05,4.01,,,,,,,,,
August,,,,,,,,,,1,1.7,0.79,3.72,2.77,1.42,3.54,1.08,8.68,5.88,2.96,1.25,,,,,,,,,
September,,,,,,,,,,3.17,1.05,4.74,4.3,1.7,2.26,1.49,3.28,0.55,1.57,0.62,4.04,,,,,,,,,
October,,,,,,,,,,3.12,3.94,2.57,6.94,1.76,1.03,4.34,1.4,2.31,1.15,0.65,4.96,,,,,,,,,
November,,,,,,,,,,3.24,2.36,1.97,4.44,1.51,3.67,4.68,3.35,1.51,7.3,2.64,2.1,,,,,,,,,
December,,,,,,,,,,3.16,4.99,1.78,4.89,0.39,3.71,1.81,7.06,1.97,4.04,0.52,3.38,,,,,,,,,
Total,,,,,,,,,,25.48,22.4,25.45,41.56,20.43,21.4,29.22,28.59,35.1,31.94,24.4,27.75,,,,,,,,,
