WARMINSTER-THE-CROFT,,,,,,,,,,,,,,,,,,,,
Grid ref,ST862462,Long,-2.1989563,Lat,51.214832,Elevation,420,ft,,,,,,,,,,,,
Station no,1519/2,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,4.25,5.25,3.38,5.72,2.23,2.7,3.58,5.35,2.01,1.72,3.35,3.21,,,
February,,,,,,2.35,5.23,0.91,1.78,2.36,2.94,0.31,1.44,0.76,2.55,3.28,1.5,,,
March,,,,,,3.14,4.13,0.1,1.48,2.12,3.34,2.23,0.85,0.42,1.06,0.9,6.21,,,
April,,,,,,2.06,2.47,0.1,2.95,2.58,1.4,1.8,0.77,1.25,0.81,2.23,2.69,,,
May,,,,,,0.68,2.33,1.37,1.04,1.93,1.52,5.29,2.62,0.55,2.5,4.65,2.34,,,
June,,,,,,3.5,1.43,1.13,2.58,1.06,1.99,0.4,1.9,2.26,4.21,2.76,2.06,,,
July,,,,,0.64,5.81,2.08,3.29,4.73,2.9,1.5,1.94,2.55,2.84,1.52,1.16,1.89,,,
August,,,,,2.07,0.57,0.88,3,2.87,0.17,4.52,3.69,3.45,2.26,1.83,4.56,0.92,,,
September,,,,,5.83,3.8,2.7,2.41,0.62,1.81,0.57,1.6,3.21,2.34,2.62,4.34,1.66,,,
October,,,,,4.65,2.09,4.48,4.59,2.97,4.03,1.87,4.2,3.79,5.6,4.15,1.24,0.75,,,
November,,,,,6.97,3.18,1.74,4.77,7,8.96,1.96,1.97,2.16,5.85,0.52,6.53,1.95,,,
December,,,,,4.07,3.33,3.32,4.08,2.37,2.02,2.03,4.14,2.47,3.21,4.02,3.1,2.99,,,
Total,,,,,,34.76,36.04,29.13,36.11,32.17,26.34,31.15,30.56,29.35,27.51,38.1,28.17,,,
