NEW-MALDEN-ACACIA-GROVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ212687,Long,-0.25843,Lat,51.40483,Elevation,50,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,152/3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,3.89,2.31,2.32,2.45,5.15,1.54,1.79,1.66,1.61,3.41,1.31,0.95,3.43,1.53,1.14,1.18,2.47,3.79,1.88,2.03,2.28,
February,,,,,,,,,1.14,1.61,1.92,0.7,1.98,0.92,1.62,2.45,1.33,1.38,1.06,3.72,5.59,1.04,1.22,2.04,1.5,0.45,2.97,2.35,0.1,
March,,,,,,,,,1.13,3.2,3.51,1.98,0.33,0.11,1.17,1.28,5.09,0.77,0.93,0.72,3.1,2.77,0.53,2.18,1.04,0.83,0.9,1.33,2.22,
April,,,,,,,,,2.6,1.79,1.49,1.14,0.89,1.68,1.27,2.42,2.02,1.31,1.82,3,2.59,1.45,2.15,0.4,0.33,1.21,0.36,1.32,1.99,
May,,,,,,,,,1.62,1.17,1.82,2.97,1.96,1.19,3.07,3.42,1.76,2.04,1.98,1.77,2.15,3.77,1.44,2.99,3.85,0.27,1.54,2.33,1.24,
June,,,,,,,,,1.2,0.64,2.52,2.01,1.24,2.17,1.69,2.77,2.09,2.3,0.72,1.41,0.96,2.05,1.27,4.06,2.34,2.01,1.18,4.44,1.03,
July,,,,,,,,,2.63,3.41,4.62,2.13,1.63,2.62,3.39,1.24,1.28,1.18,1.4,3.45,1.33,0.68,3.56,2.9,0.74,3.93,3.49,2.48,1.09,
August,,,,,,,,,4.19,0.16,5.01,2.04,1.34,2.19,1.63,4.54,0.43,3.56,1.47,1.88,2.69,2.17,1.34,3.29,1.1,2.77,4.22,3.44,,
September,,,,,,,,,1.45,1.48,0.4,1.26,1.95,2.59,1.79,3.24,1.27,1.15,0.66,2.76,3.15,3.06,2.64,2.19,2,2.03,2.43,3.94,,
October,,,,,,,,,5.73,2.46,0.95,3.72,3.27,3.29,2.48,0.97,0.17,2.16,5.29,0.34,0.75,2.52,2.95,2.36,2.8,1.62,1.78,2.72,,
November,,,,,,,,,4.34,6.13,2.78,2.21,1.24,3.91,0.29,3.67,1.32,1.62,2.15,4.95,5.67,3.01,0.98,3.72,0.77,0.52,2.34,1.82,,
December,,,,,,,,,1.05,1.25,1.9,2.76,1.68,1.59,2.97,2.42,2.53,3.13,1.41,1.71,1.95,2.37,0.62,1.71,2.13,2.71,1.73,2.77,,
Total,,,,,,,,,30.97,25.61,29.24,25.37,22.66,23.8,23.16,30.08,20.9,24.01,20.2,26.66,33.36,26.42,19.84,29.02,21.07,22.14,24.82,30.97,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1939 Gauge at 15 Acacia Grove NGR is here,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940 Sept 18 Gauge moved to Orchard Avenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orchard Av 250 to 400 yrds from 15 Acacia Ave depending which house 250yds most likely for elevation to match Acacia Grove,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1948 Oct 20 Gauge moved to Acacia Grove Position only temporary until bombed garden is re-constituted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1949 Apr Gauge moved a few feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1956 Note in BR Gauge over sheltered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1959 Terminated Moved to Burgess Hill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
