LYMINGTON-WOODMANCOTE-(LINDON-HOUSE),,,,,,,,,,,,
Grid ref,SZ322958,Long,-1.54461,Lat,50.76109,Elevation,70,ft,,,,
Station no,633,,,,,,,,,,,
,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921
January,,,,,,,,1.16,3.49,5.23,3.55,4.06
February,,,,,,,,1.09,1.11,2.99,0.44,0.17
March,,,,,,,,3.08,1,4.6,1.99,
April,,,,,,,,2.46,2.62,1.13,2.67,
May,,,,,,,,2.59,1.15,0.66,0.92,
June,,,,,,,,1.83,0.85,0.81,2.71,
July,,,,,,,,3.99,3.58,1.47,5.47,
August,,,,,,,,5.09,2.36,2.88,1.12,
September,,,,,,,,1.44,5.2,1.69,1.78,
October,,,,,,,,4.59,1.92,1,2.92,
November,,,,,,,,1.99,2.41,2.82,1.68,
December,,,,,,,,1.24,2.91,5.78,2.64,
Total,,,,,,,,30.55,28.6,31.06,27.89,
,,,,,,,,,,,,
Linden House New Road marked on 1970 sheet,,,,,,,,,,,,
1921 Feb Gauge moved 300yds from Linden House to Woodmancote ,,,,,,,,,,,,
