LYMINGTON-WOODMANCOTE,,,,,,,,,,,,,,,,,,,
Grid ref,SZ320954,Long,-1.54728,Lat,50.75783,Elevation,70,ft,,,,,,,,,,,
Station no,633,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939
January,,5.06,1.31,3.01,4.57,4.29,2.42,6.14,1.14,4.53,2.26,1.84,2.1,2.73,1,5.22,6.46,3.5,4.9
February,,2.68,5.18,0.27,4.68,1.82,3.88,2.07,1,0.65,1.78,0.11,3.84,0.04,3.44,3.12,5.6,0.58,1.38
March,1.13,2.66,1.64,1.6,0.33,0.51,2.95,2.51,0.22,1.27,1.34,1.26,3.01,3,0.89,2.52,3.62,0.37,0.99
April,0.89,3.02,3.61,2.81,2.97,3.19,2.08,2.35,0.93,2.77,3.14,2.73,1.61,1.95,3.35,1.8,2.87,0.01,2.17
May,1.19,0.77,2.2,3.65,3.88,2.61,0.65,0.95,2.86,2.62,2.92,4.25,2.2,0.79,0.81,0.7,1.97,1.68,
June,0.22,1.15,0.43,1.86,0,3.59,2.47,2.35,1.19,0.84,2.28,1.69,1.6,1.16,4.01,3.06,0.68,0.97,
July,0.71,3.82,1.33,3.27,3.35,1.77,2.48,1.95,1.93,1.86,4.59,3.3,2.39,2.84,0.73,4.8,1.59,2.33,
August,1.91,3.12,2.27,2.08,3.27,0.89,3.42,2.1,1.9,2.51,3.76,0.76,1,3.68,3.41,0.31,1.43,1.37,
September,0.93,1.46,2.5,5.27,3.05,0.69,5.23,1.46,0.71,2.83,1.94,3.57,2.6,2.92,3.83,3.44,2.86,2.19,
October,1.22,1.35,5.84,5.16,3.56,3,1.97,6.82,4.35,2.92,0.7,6.42,1.93,1.67,5.69,1.26,3.95,3.41,
November,2.11,1.63,1.35,2.69,2.83,7.72,3.54,2.73,9.15,5.63,4.4,2.06,0.5,3.32,8.08,4.23,2.39,4.63,
December,1.53,4.75,2.82,5.38,3.79,0.56,4.38,2.62,6.52,3.24,0.64,1.26,1.17,9.43,3.75,3.02,5.94,4.11,
Total,,31.47,30.48,37.05,36.28,30.64,35.47,34.05,31.9,31.67,29.75,29.25,23.95,33.53,38.99,33.48,39.36,25.15,
,,,,,,,,,,,,,,,,,,,
1921 Feb Gauge moved 300yds from Linden House to Woodmancote ,,,,,,,,,,,,,,,,,,,
Woodmancote 38 St Thomas St,,,,,,,,,,,,,,,,,,,
1922 Aug 8 Inspection Gauge on level lawn with trees around Somewhat sheltered,,,,,,,,,,,,,,,,,,,
1931 May 1 Gauge moved 50yds W to Wistaria 32 St Thomas St,,,,,,,,,,,,,,,,,,,
1932 Published in BR as Woodmancote,,,,,,,,,,,,,,,,,,,
1933 Published in BR as Woodmancote,,,,,,,,,,,,,,,,,,,
1939 Gauge moved to Delawarr House 0.5 miles SE seemingly in May,,,,,,,,,,,,,,,,,,,
