"BURNHAM MARKET (SCHOOL HOUSE)",,,,,,,,,,,,
Grid ref,TF837426,Long,0.732837,Lat,52.949327,,,,,,,
Station no,1448/4,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.92,2.56,1.24,1.61,2.37,2.74,1.64,2.30,3.48,3.66,,
February,2.30,1.16,1.35,1.86,3.35,1.80,2.70,3.96,0.14,2.01,,
March,3.41,2.43,1.18,2.45,1.99,0.70,1.62,1.25,0.95,1.04,,
April,2.79,1.41,1.92,0.45,1.07,1.18,0.35,1.33,1.44,0.68,,
May,3.86,2.38,1.60,1.59,2.90,0.73,1.32,2.87,0.88,0.45,,
June,1.42,0.85,3.23,2.58,1.82,2.21,2.03,2.61,2.46,1.13,,
July,1.66,0.93,1.84,3.33,0.27,4.38,2.03,4.63,2.12,2.42,,
August,3.29,1.95,1.85,4.46,0.87,3.59,1.48,1.57,1.60,3.54,,
September,2.59,2.67,1.08,2.47,1.02,1.66,3.43,2.75,0.33,3.02,,
October,0.75,1.90,2.47,2.68,1.98,1.78,1.41,1.82,1.63,4.01,,
November,2.90,3.50,1.30,4.01,0.94,0.94,1.63,1.05,1.75,3.93,,
December,1.31,2.15,1.07,2.19,1.29,1.25,2.43,2.71,4.02,4.32,,
Total,29.20,23.89,20.13,29.68,19.87,22.96,22.07,28.85,20.80,30.21,,
Calc annual,29.20,23.89,20.13,29.68,19.87,22.96,22.07,28.85,20.80,30.21,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
