"NEWCASTLE, TOWN MOOR, DEAF & DUMB INSTITUTION",,,,,,,,,,,,
Grid ref,NZ250990,Long,-1.607949,Lat,55.284500,,,,,,,
Station no,3562,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.65,1.43,0.89,2.63,1.76,0.44,2.42,0.48,1.46,0.93,,
February,5.43,1.39,1.29,1.26,2.60,0.91,1.05,1.25,1.75,1.72,,
March,1.84,1.51,0.84,1.14,1.38,1.35,1.24,1.13,3.37,5.35,,
April,1.36,0.91,1.40,1.44,1.59,2.88,1.57,2.53,2.95,2.68,,
May,1.30,2.24,2.43,2.39,2.84,0.51,4.78,4.36,1.83,1.79,,
June,4.92,1.15,2.03,3.06,2.11,1.19,1.86,2.19,0.37,2.18,,
July,1.38,3.52,3.18,4.73,1.49,1.66,1.46,1.74,2.85,2.78,,
August,6.56,2.25,2.58,2.24,2.59,2.57,3.42,2.32,1.75,3.41,,
September,0.90,1.02,0.61,2.35,1.18,1.96,0.58,0.64,1.80,1.82,,
October,6.85,2.11,2.51,9.24,0.81,3.06,4.65,5.86,1.50,2.18,,
November,2.87,5.61,1.21,2.04,3.14,4.50,3.32,1.77,1.46,0.85,,
December,1.82,3.22,3.01,1.94,1.94,0.46,3.84,3.06,1.12,4.09,,
Total,38.88,26.36,21.98,34.46,23.43,21.49,30.19,27.33,22.21,29.78,,
Calc annual,38.88,26.36,21.98,34.46,23.43,21.49,30.19,27.33,22.21,29.78,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
