TORQUAY-THE-CASTLE-COLLEGE,,,,,,,,,,,,,,,,,,,,
Grid ref,SX913639,Long,-3.53222,Lat,50.46528,Elevation,167,ft,,,,,,,,,,,,
Station no,RR8393,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,,,,,1.16,2.31,1.57,3.76,4.16,2.52,5.06,3.11,0.95,
February,,,,,,,,,,,4.79,4.37,2.41,5.6,4.73,4.25,1.38,0.58,0.39,
March,,,,,,,,,,,2.59,4.28,1.13,1.35,2.61,0.83,3.94,1.64,4.68,
April,,,,,,,,,,,1.89,0.75,5.85,0.8,2.13,3.2,2.28,1.23,1.56,
May,,,,,,,,,,,0.83,0.67,1.62,2.11,1.36,3.25,3.89,1.78,2.47,
June,,,,,,,,,,,2.02,3.09,3.48,2.86,1.5,0.94,0.85,0.07,2.23,
July,,,,,,,,,,,2.32,1.46,3.38,3.78,2.58,0.15,2.83,1.13,5.24,
August,,,,,,,,,,,0.25,4.5,1.87,0.65,0.71,2.88,1.57,1.75,2.64,
September,,,,,,,,,,,3.3,2.14,3.44,4.56,1.53,2.99,1.95,2.38,0.57,
October,,,,,,,,,,,7.68,3.77,6.59,2.78,0.82,5.38,4.84,3.42,1.52,
November,,,,,,,,,,,3.82,5.51,3.62,4.26,1.33,3.9,2.74,3.83,8.43,
December,,,,,,,,,,,4.71,3.3,3.52,0.5,3.14,1.76,6.42,2.83,2.93,
Total,,,,,,,,,,40.34,35.36,36.15,38.48,33.01,26.6,32.05,37.75,23.75,33.61,
,,,,,,,,,,,,,,,,,,,,
Castle College with St Lukes St Lukes Rd,,,,,,,,,,,,,,,,,,,,
College not found but NGR is in St Lukes Rd near church at given elevation,,,,,,,,,,,,,,,,,,,,
1879 Total taken from BR,,,,,,,,,,,,,,,,,,,,
1879 BR notes start of station,,,,,,,,,,,,,,,,,,,,
1889 All months and total in bracket Note says Babbacombe,,,,,,,,,,,,,,,,,,,,
1889 Station terminated,,,,,,,,,,,,,,,,,,,,
