BERWICK-ST-JOHN-FERNE,,,,,,,,,,
Grid ref,ST929223,Long,-2.1025548,Lat,51.000046,Elevation,500,ft,,
Station no,RR7625,,,,,,,,,
,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,3.16,5.99,1.24,8.27,0.54,1.68,
February,,,,2.3,5.65,0.81,4.48,2.12,1.63,
March,,,,4.7,2.17,5.97,1.67,0.97,4.57,
April,,,,3.85,1.56,2.42,1.32,5.51,3.22,
May,,,,4.08,3.75,0.51,4.07,2.42,2.99,
June,,,,2.94,0.97,3.24,2.76,2.37,0.59,
July,,,,3.34,3.37,0.35,1.17,1.25,2.44,
August,,,,4.73,2.97,5.45,1,3.1,4.25,
September,,,,3.35,2.9,1.5,0.87,0.7,3.68,
October,,,,10.02,2.84,2.65,7.81,11.7,2.34,
November,,,,2.3,1.36,5.22,4.69,4.05,1.52,
December,,,,3.99,3.73,1.18,2.68,5.55,4.99,
Total,,,,48.76,37.26,30.54,40.79,40.28,33.9,
