"SPOFFORTH (SEWAGE WORKS)",,,,,,,,,,,,
Grid ref,SE377521,Long,-1.426866,Lat,53.963614,,,,,,,
Station no,3345,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.56,2.39,0.51,1.78,1.46,3.42,1.30,2.36,2.51,4.53,,
February,2.78,0.46,1.11,2.02,1.71,1.62,2.40,3.46,0.11,1.68,,
March,2.69,1.86,0.46,1.29,2.01,0.62,2.03,1.79,1.29,1.75,,
April,1.35,0.72,2.62,0.24,1.06,2.46,0.13,0.85,3.75,0.73,,
May,5.64,1.50,1.48,3.58,2.71,0.65,1.54,2.89,0.62,0.81,,
June,1.00,1.95,1.33,1.92,1.75,3.26,2.36,3.12,1.03,0.60,,
July,2.13,1.64,2.68,1.16,1.15,4.16,4.07,3.22,1.47,3.63,,
August,5.59,2.45,3.53,5.57,0.71,6.13,4.56,2.15,0.82,2.46,,
September,2.98,3.67,2.05,1.65,1.27,3.04,4.16,2.80,0.06,3.34,,
October,1.07,2.79,1.99,3.65,1.74,1.23,2.75,1.65,2.36,6.02,,
November,6.44,1.76,2.50,4.60,2.31,0.78,1.59,0.96,4.29,5.09,,
December,2.33,1.92,1.23,2.48,3.04,2.56,2.67,3.60,4.51,3.04,,
Total,36.56,23.11,20.99,29.94,20.92,29.93,29.56,28.85,22.82,33.68,,
Calc annual,36.56,23.11,21.49,29.94,20.92,29.93,29.56,28.85,22.82,33.68,,
Difference,0.00,0.00,-0.50,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
