"SPOFFORTH SEWAGE WORKS",,,,,,,,,,,,
Grid ref,SE371525,Long,-1.435962,Lat,53.967252,,,,,,,
Station no,3345,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,3.37,1.13,1.21,1.00,,
February,,,,,,,1.76,1.84,1.49,0.66,,
March,,,,,,,1.54,1.90,3.36,3.34,,
April,,,,,,,0.52,1.34,2.75,2.69,,
May,,,,,,,2.54,3.61,2.99,1.51,,
June,,,,,,,0.94,3.22,1.14,3.20,,
July,,,,,,,1.51,1.89,2.92,3.02,,
August,,,,,,,2.76,1.54,1.67,3.01,,
September,,,,,,,0.53,0.88,2.15,1.55,,
October,,,,,,,4.31,5.82,1.19,2.07,,
November,,,,,,,3.45,2.88,1.64,0.66,,
December,,,,,,,1.62,2.80,1.22,3.69,,
Total,,,,,,,24.85,28.85,23.73,26.40,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,24.85,28.85,23.73,26.40,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,-0.00,,
