WEST-END-BRIDGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK153928,Long,-1.7711863,Lat,53.431766,Elevation,878,ft.,,,,,,,,,,,,,,,,,,,,,,,
Station no,2697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,4.94,4.6,4.66,5.99,6.9,8.9,4.96,6.09,3.34,6.44,6.16,5.57,13.49,2.75,7.12,10.25,6.74,4,,,,,,,
February,,,,,,6.41,7.89,0.82,7.09,2.16,5.26,0.61,7.18,8.44,2.24,7.71,4.07,1.94,8.2,0.65,1.41,8.87,0.62,6.15,,,,,,,
March,,,,,,2.13,5.22,3.15,2.16,6.91,3.71,4.63,3.95,2.41,1.34,2.62,2.37,7.37,3.17,1.02,3.98,0.29,4.07,3.51,,,,,,,
April,,,,,,2.22,4.72,2.9,1.71,3.24,7.01,2.6,4.88,3.54,2.59,2.97,2.98,7.46,2.19,1.97,4.52,6.92,7.84,2.02,,,,,,,
May,,,,,,1.51,2.56,1.86,3.05,2.03,7.37,1.93,0.8,5.89,6.37,3.91,4.18,1.92,1.48,3.74,3.07,2.65,5.4,2.1,,,,,,,
June,,,,,,1.24,4.61,1.99,3.68,2.24,4.39,0.27,3.29,1.25,1.94,0.07,4.24,6.33,5.26,1.91,4.52,6.18,1.1,3.63,,,,,,,
July,,,,,,7.04,2.42,2.15,4.5,3.43,6.54,1.7,4.89,4.99,5.29,2.03,3.41,3.6,1.88,3.87,7.82,5.76,4.91,3.87,,,,,,,
August,,,,,,3.38,2.16,8.79,3.15,3.89,2.14,6.44,7.39,4.56,5.81,4.16,4.77,5.61,6.77,4.98,5.98,7.94,1.81,1.39,,,,,,,
September,,,,,,0.73,2.82,2.49,11.26,2.9,2.4,1.11,4.24,5.72,4.6,4.04,3.59,7.71,0.66,2.21,7.23,5.91,5.43,1.72,,,,,,,
October,,,,,,3.12,8.13,8.18,3.62,5.16,2.49,2.8,1.7,4.47,6.62,5.03,5.98,5.63,6.66,7.06,8.15,2.73,9.66,7.04,,,,,,,
November,,,,,,3.92,5.63,7.81,2.44,4.78,1.88,2.45,3.79,8.12,3.46,3.97,5.66,6.86,9.66,11.03,6.61,5.69,5.35,3.78,,,,,,,
December,,,,,,9.33,5.18,3.41,9.75,9.69,4.88,9.39,4.77,5.44,4.67,6.02,4.5,1.9,4.16,12.51,4.89,3,2.72,0.75,,,,,,,
Total,,,,,,,56.28,48.15,57.07,52.42,54.97,42.83,51.84,60.92,48.27,48.97,51.91,61.9,63.58,53.7,65.3,66.19,55.65,39.96,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGR is near a foobridge near Westend Farm at the west end of Howden Reservoir, which is as the description on the record.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Altitudes match. NGR could be +/- 200m E/W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
