SALCOMBE-BLACKSTONE-LODGE-GARDEN,,,,,,,,,,,,,,,,,,,,,
Grid ref,SX734384,Long,-3.77623,Lat,50.23215,Elevation,280,ft,,,,,,,,,,,,,
Station no,1667,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,5.22,2.81,5.82,7.32,5.5,4.37,6.77,3.38,6.4,3.63,3.91,2.8,,,,,,,
February,,,3.13,7.09,1.97,4.92,3.23,2.98,3.56,5.05,2.02,3,0.07,4.9,,,,,,,
March,,,3.88,2.7,2.63,1.02,1.47,3.94,3.96,0.5,2.76,3.86,2.07,3.58,,,,,,,
April,,,4.6,3.82,3.64,2.62,2.31,2.32,2.86,0.89,3.41,3.04,4.16,2.1,,,,,,,
May,,,1.52,3.24,4.3,4.56,1.61,0.44,1.77,3.14,2.91,2.72,3.75,1.6,,,,,,,
June,,0.08,0.98,0.25,1.66,0,3.1,3,1.93,2.8,0.58,3.87,3.01,2.06,,,,,,,
July,,0.56,4.07,1.54,4.97,4.07,0.99,3.06,2.45,1.73,1.73,4.85,2.51,2.76,,,,,,,
August,,2.94,4.62,1.83,3.39,2.7,1.36,3.52,2.36,2.63,3.6,4.79,1.67,1.23,,,,,,,
September,,0.94,2.17,3.99,3.78,3.94,0.9,5.62,2.06,0.4,4.14,1.41,5.36,3.11,,,,,,,
October,,1.35,1.67,7.18,8.76,3.64,4.24,3.04,5.63,5.88,4.3,0.91,7.39,2.5,,,,,,,
November,,3.64,2.85,2.44,4.23,3.79,8.15,5.62,4.12,10.24,6.78,6.11,2.52,2.58,,,,,,,
December,,2.25,6.74,3.98,6.26,4.86,0.85,5.1,4.45,8.77,4.15,2.17,3.41,2.02,,,,,,,
Total,,,41.45,40.87,51.41,43.44,33.71,43.01,41.92,45.41,42.78,40.36,39.83,31.24,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
There is a second gauge on another 1920 sheet but only one year of data Not printed as note says the gauge was slightly bent so not included,,,,,,,,,,,,,,,,,,,,,
