BOLTON - LE - SANDS VICARAGE,,,,,,,,,,,,
Grid ref,SD483676,Long,-2.792123,Lat,54.101679,,,,,,,
Station no,RR7966,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,5.03,1.94,2.27,3.63,3.99,1.46,4.58,2.39,4.07,2.28,,
February,3.43,1.13,0.93,3.11,3.79,1.76,2.84,2.06,2.06,2.18,,
March,0.42,3.82,2.55,4.11,2.45,2.52,3.43,3.85,3.18,2.69,,
April,2.40,1.67,1.47,1.47,2.67,2.86,1.48,1.95,2.23,3.54,,
May,2.13,1.07,2.55,2.79,1.99,1.53,5.50,4.38,3.05,1.94,,
June,3.07,1.81,0.95,2.05,1.34,2.50,2.71,7.01,2.94,2.24,,
July,2.95,1.30,3.74,3.15,1.54,1.71,2.18,3.29,3.28,7.89,,
August,5.93,2.93,2.98,6.57,2.63,4.98,4.60,4.32,5.18,4.52,,
September,2.30,1.33,1.14,5.76,2.00,3.56,1.01,0.83,5.25,2.86,,
October,7.84,4.24,4.93,8.97,2.93,2.89,6.57,4.82,2.22,6.80,,
November,4.22,3.77,2.21,3.62,2.59,3.61,3.95,3.97,4.01,1.78,,
December,5.66,4.52,3.00,3.60,3.46,1.26,3.07,4.67,2.78,8.02,,
Total,45.38,29.53,28.72,48.83,31.38,30.64,41.92,43.54,40.28,46.74,,
Calc annual,45.38,29.53,28.72,48.83,31.38,30.64,41.92,43.54,40.25,46.74,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.03,0.00,,
