BOLTON - LE - SANDS VICARAGE,,,,,,,,,,,,,,,,,,,,
Grid ref,SD483676,Long,-2.792123,Lat,54.101679,Elevation,125,ft,,,,,,,,,,,,
Station no,RR7966,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,5.03,1.94,2.27,3.63,3.99,1.46,4.58,2.39,4.07,2.28,5.08,1.76,2.5,3.66,3.37,4.79,3.14,2.4,4.24,
February,3.43,1.13,0.93,3.11,3.79,1.76,2.84,2.06,2.06,2.18,5.74,5.11,2.17,2.44,3.83,5.16,3.4,1.14,3.97,
March,0.42,3.82,2.55,4.11,2.45,2.52,3.43,3.85,3.18,2.69,1.48,1.25,5.32,3.84,4.47,1.39,1.28,2.09,1.96,
April,2.4,1.67,1.47,1.47,2.67,2.86,1.48,1.95,2.23,3.54,2.15,4.22,0.81,4.18,0.88,2.64,2.73,1.55,1.34,
May,2.13,1.07,2.55,2.79,1.99,1.53,5.5,4.38,3.05,1.94,2.22,1.96,1.91,2.37,2.34,1.64,4.35,2.07,2.01,
June,3.07,1.81,0.95,2.05,1.34,2.5,2.71,7.01,2.94,2.24,2,2.76,5.01,2.51,1.17,0.83,3.18,3.09,2.38,
July,2.95,1.3,3.74,3.15,1.54,1.71,2.18,3.29,3.28,7.89,4.68,0.78,4.94,1.01,3.46,4.01,3.18,1.43,4.87,
August,5.93,2.93,2.98,6.57,2.63,4.98,4.6,4.32,5.18,4.52,6.19,3.74,6.35,2.12,3.2,4.09,5.62,9.4,3.11,
September,2.3,1.33,1.14,5.76,2,3.56,1.01,0.83,5.28,2.86,0.51,3.87,2.21,3.4,3.01,0.98,3.65,4.36,10.26,
October,7.84,4.24,4.93,8.97,2.93,2.89,6.57,4.82,2.22,6.8,2.33,4.25,3.87,2.93,1.93,1.06,6.68,7.55,4.78,
November,4.22,3.77,2.21,3.62,2.59,3.61,3.95,3.97,4.01,1.78,4.5,5.53,5.96,4.42,5.11,1.63,3.13,4.51,2.15,
December,5.66,4.52,3,3.6,3.46,1.26,3.07,4.67,2.78,8.02,3.75,6.5,3.68,3.19,6.24,7.1,3.22,1.58,7.28,
Total,45.38,29.53,28.72,48.83,31.38,30.64,41.92,43.54,40.28,46.74,40.63,41.73,44.73,36.07,39.01,35.32,43.56,41.17,48.35,
,,,,,,,,,,,,,,,,,,,,
1908 September mis-transcribed,,,,,,,,,,,,,,,,,,,,
