HAWKHURST-MOOR-HOUSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ7542429582,Long,0.50080499,Lat,51.038817,Elevation,208,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,,,1.48,3.73,2.38,3.74,2.14,3.32,0.89,5.35,6.43,4.26,6.36,2.14,3.5,2.45,5.24,1.84,2.1,3.01,,,,
February,,,,,,,,,,0.81,1.69,2.53,0.45,1.98,0.26,4.85,1.98,4.88,0.84,1.36,1.74,2.07,0.57,1.68,1.24,2.03,3.35,,,,
March,,,,,,,,,,0,1.91,0.37,1.47,3.05,3.54,0.33,1.33,4.2,0.49,1.66,2.98,2.71,3.51,0.36,0.04,1.3,1.54,,,,
April,,,,,,,,,,0.99,1.62,3.6,2.2,1.02,2.14,3.64,1.93,2.61,0.67,2.24,1.84,1.44,1.44,1.65,1.32,0.99,1.85,,,,
May,,,,,,,,,,1.95,2.76,2.18,3.4,2.06,0.6,1.75,0.22,2.45,2.55,1.14,1.22,2.91,3.04,3,0.89,2.11,2.41,,,,
June,,,,,,,,,,1.54,1.2,1.11,1.58,1.13,1.36,2.26,3.59,1.93,1.06,1.34,0.83,1.88,0.33,1.45,1.2,0.53,2.77,,,,
July,,,,,,,,,,1.27,3.2,2.33,3.16,2.66,1.82,0.69,3.98,0.68,2.36,1.88,2.28,5.53,2.05,1.59,2.39,1.95,1.88,,,,
August,,,,,,,,,,2.03,4.58,5.06,0.71,1.43,2.09,4.61,1.08,1.58,3.74,1.45,0,4.49,2.55,1.19,3.13,1.81,5.83,,,,
September,,,,,,,,,,0.71,3.66,2.01,2.78,3.02,1.37,4.55,2.07,2.01,2.77,0.64,1.85,0.15,2.72,1.63,3.46,1.31,3.2,,,,
October,,,,,,,,,,4.1,1.94,0.79,7.37,1.05,1.94,3.96,1.69,3.49,4.48,5.28,4.24,1.58,3.32,2.7,5.31,2.63,1.49,,,,
November,,,,,,,,,,8.5,5.3,5.51,1.57,1.27,3.3,6.6,5.03,1.43,3.51,6.07,7.78,3.93,1.59,1.79,5.32,1.19,5.9,,,,
December,,,,,,,,,,8.63,3.03,0.62,0.29,0.7,8.12,4.48,3.15,4.3,3.22,1.8,2,2.45,2.92,2.08,2.75,3.89,3.01,,,,
Total,,,,,,,,,,32.01,34.62,28.49,28.72,21.51,29.86,38.61,31.4,35.99,29.95,31.22,28.9,32.64,26.49,24.36,28.89,21.84,36.24,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940 Aug dash=zero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
