TREHERBERT-PUMPING-STATION,,,,,,,,,,
Grid ref,SS936984,Long,-3.540131,Lat,51.674259,Elevation,600,ft,,
Station no,4079/5,,,,,,,,,
,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,16.35,7.92,11.85,1.68,10.93,16.17,13.01,,
February,,0.03,5.55,0.9,12.37,3.74,13.51,4.26,,
March,,5.12,8,6.83,2.14,5.96,5.04,1.27,,
April,,6.37,3.35,5.34,9.38,4.63,5.55,0.36,,
May,,8.14,1.94,4.11,2.69,1.75,3.31,7.93,,
June,7.1,3.83,3.95,2.52,7.78,3.84,3.06,5.56,,
July,8.11,6.71,7.73,2.74,1.77,14.4,3.61,7.31,,
August,6.5,1.19,2.65,6.74,3.19,2.32,0.96,6.09,,
September,3.6,9.41,3.02,7.31,14.5,5.73,3.65,4.06,,
October,2.4,14.77,11.56,8.88,10.87,4.79,3.92,14.06,,
November,16.92,7.05,2.2,3.7,12.51,11.01,4.16,14.9,,
December,5.09,6.4,2.94,22.66,6.61,14.15,6.31,9.74,,
Total,,85.37,60.81,83.58,85.49,83.25,69.25,88.55,,
