GOLDERS-GREEN-DUNSTANS-ROAD,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ251870,Long,-0.19642984,Lat,51.568004,Elevation,240,ft.,,,,,,,,,,,,,
Station no,857,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,1.2,2.95,1.64,3.04,1.94,3.56,1.11,2.23,1.32,1.53,1.63,1.36,0.91,4.14,,,,
February,,,,3.36,0.62,3.01,2.97,3.5,1.64,0.67,0.9,1.74,0.18,1.67,0.27,2.16,1.53,,,,
March,,,,2.69,0.94,0.59,0.31,2.68,1.58,0,1.77,0.15,1.26,2.39,2.16,0.35,0.93,,,,
April,,,,1.8,3.19,1.98,3.4,2.27,1.33,1.26,1.92,3.61,2.07,1.19,2.67,3.05,1.57,,,,
May,,,,1.85,3.94,2.15,2.45,1.31,2.41,1.59,2.45,2.73,3.64,1.79,0.68,1.05,0.5,,,,
June,,,,0.48,2.69,0.11,3.54,2.87,2.84,1.54,1.19,1.53,0.78,1.56,0.63,3.07,3.81,,,,
July,,,,3.05,5.86,3.74,2.34,3.6,2.21,3.39,1.57,2.86,1.93,1.4,0.92,0.8,3.62,,,,
August,,,,1.86,2.49,2.12,1.44,4.1,2.13,1.92,2.9,5.41,1.96,0.64,2.55,1.92,0.44,,,,
September,,,,1.41,2.82,2.38,0.99,4.9,0.82,0.39,3.21,2.5,2.05,2.38,2.41,3.43,3.14,,,,
October,,,,5.42,3.98,3.03,2.36,1.59,4.38,2.9,1.17,0.62,5.09,1.36,0.97,2.32,1.82,,,,
November,,,,1.55,2.44,1.79,5.19,2.75,2.15,5.59,4.09,2.1,1.43,1.05,1.98,4.17,,,,,
December,,,,2.44,3.14,2.51,0.45,4.08,2.47,4.38,2.07,0.83,0.49,0.45,5.29,2.86,,,,,
Total,,,,27.11,35.06,25.05,28.48,35.59,27.52,24.74,25.47,25.4,22.41,17.51,21.89,26.09,,,,,
,,,,,,,,,,,,,,,,,,,,,
NGR is on Dunstan Road at the stated altitudes and relationships to the church and station.,,,,,,,,,,,,,,,,,,,,,
