WIMBORNE-CORFE-MULLEN-FOREST-HILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SY967958,Long,-2.04768,Lat,50.76219,Elevation,300,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,1608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,5.64,6.21,0.55,3.2,1.78,1.22,3.73,6.83,4.22,3.23,4.52,1.54,3.73,5.04,5.24,2.27,5.73,-999,4.66,2.44,3.27,2.92,2.8,0.74,6.04,6.66,3.96,6.09,
February,,,2.31,2.06,4.2,6.58,6.24,1.18,1.8,3.83,0.64,0.42,2.68,7.19,0.66,5.33,2.28,3.54,2.9,-999,0.94,2.02,0.14,4.58,0.07,2.92,2.86,6.36,0.35,1.29,
March,,,5.54,2.69,4.75,0.9,3.9,3.2,1.44,5.17,2.36,1.38,2.55,1.34,1.29,1.07,0.7,3.11,2.83,-999,1.58,1.37,2.08,3.27,3.09,0.69,3.17,3.99,0.31,1.2,
April,,,0.12,3.83,1.25,1.07,0.68,1.82,1.94,2.04,3.57,0.89,3.56,4.11,4.08,3.31,4.19,2.45,2.16,-999,2.62,2.53,2.98,1.63,1.83,4.22,2.59,2.41,0,1.87,
May,,,1.9,2.49,1.38,2.62,2.09,3.79,1.69,0.59,1.59,1.72,0.68,1.54,4.53,4.19,2.45,1.24,1.61,-999,3.15,3.73,3.95,1.3,0.87,0.96,0.57,3.54,1.32,1.45,
June,,,4.38,0.75,1.19,0.5,2.74,1.73,1.16,1.03,2.46,0.62,0.83,0.44,1.79,0,3.47,2.38,2.21,-999,0.46,3.16,2.82,0.4,1.29,4.97,2.9,0.42,0.98,3.6,
July,,,2.56,1.34,3.71,3.93,0.95,2.67,4.4,2.31,5.45,0.34,4.93,0.77,2.98,3.1,1.7,3.02,1.81,-999,1.87,4.71,3.49,1.96,0.34,0.46,4.8,2.13,1.94,4.6,
August,,,6.83,1.66,3.17,1.27,4.18,6.05,2.49,2.97,1.44,1.5,4.36,2.31,2.42,3.28,0.68,3.53,2.82,-999,4.26,4.57,1.01,1.39,3.9,2.72,0.07,1.61,2.99,3.21,
September,,,2.51,3.39,1.94,2.25,3.27,2.21,6.04,1.61,1.52,0.89,1.66,2.44,3.37,3.5,0.76,6.18,2.21,0.66,3.84,1.4,4.55,2.53,2.49,3.35,2.76,3.45,2.05,5.94,
October,,,4.36,4.26,3.22,7.88,5.32,5.7,2.3,1.51,3.04,1.43,1.54,5.51,5.2,4.49,4.89,2.83,8.73,3.74,2.23,0.71,6.28,2.31,1.94,6.83,1.77,5.94,4.65,3.24,
November,,,2.07,3.79,6.42,3.53,5.69,1.05,3.45,2.18,1.75,2.33,2.25,2.04,3.62,3.07,10.39,3.41,4.76,9.65,6.98,6.14,2.58,0.56,2.05,8.95,3.33,1.36,5.82,6.71,
December,,,5.07,2.25,8.72,9.29,5.23,1.06,3.41,5.63,3,1.32,3.76,4.45,6.27,4.01,0.66,4.57,4.26,7.57,4.59,1.15,1.67,1.24,9.68,4.75,3.13,4.93,4.33,1.44,
Total,,,43.29,34.72,40.5,43.02,42.07,31.68,33.85,35.7,31.04,16.07,33.32,33.68,39.94,40.39,37.41,38.53,42.03,34.04,37.18,33.93,34.82,24.09,30.35,41.56,33.99,42.8,28.7,40.64,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1919 Aug Gauge moved 250yds SE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1920 Jan 1st Gauge moved 300yds SE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1927 Jan 1st Gauge moved 20ft W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1929 Jan-Aug Observer mislaid daily values but confirms total for period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1929 Jan-Aug bracketed Value 12.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station renumbered 1599/8 owing to revision of river div lines Apr 1939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940 Note says gauge moved to The Plantation Corfe Mullen 1 mile E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Plantation is about 0.5 miles from here but unless it made a large unmarked move it could not be that far and still be at this elevation and near Forest Hill ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The new station will not be regarded as a continuation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
