FISHTOFT SCHOOL,,,,,,,,,,,,,,,,,
Grid ref,TF363421,Long,0.028,Lat,52.959,Elevation,8,ft,,,,,,,,,
Station no,2537,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941
January,0.97,2.69,1.48,3.34,2.37,2.80,2.21,1.36,1.03,1.37,2.81,2.48,3.16,2.51,4.58,1.67,2.66
February,1.80,1.44,1.99,1.22,0.37,0.66,2.62,0.47,1.73,0.60,1.47,2.33,2.09,1.08,0.37,2.49,2.35
March,1.27,0.69,1.64,1.55,0.27,1.34,0.77,1.17,1.91,1.50,0.29,0.93,3.35,0.24,1.64,1.49,
April,1.88,1.49,2.23,1.24,0.45,2.70,2.14,1.72,1.31,1.81,2.09,1.79,2.66,0.23,1.54,1.01,0.49
May,4.13,2.05,1.34,1.37,1.00,1.81,2.23,3.29,1.42,0.71,0.38,0.60,4.38,1.97,0.85,1.02,1.72
June,0.17,2.68,2.83,2.79,1.04,1.20,2.94,0.44,1.43,0.49,2.01,2.89,2.09,0.83,1.78,0.25,0.35
July,0.93,1.46,1.77,1.22,2.04,2.69,4.62,4.41,1.79,1.05,1.18,5.62,3.87,2.07,1.69,2.71,4.08
August,1.04,1.13,3.40,1.76,0.95,2.77,4.63,1.72,0.29,1.62,0.77,1.11,0.56,1.54,1.50,0.44,4.17
September,2.71,1.05,2.85,0.20,0.95,1.22,2.62,2.19,1.95,1.30,1.78,1.54,1.30,2.96,0.94,0.48,
October,1.88,1.80,1.89,3.61,2.86,1.33,0.69,3.50,3.19,0.73,2.89,1.56,1.75,1.94,3.12,2.25,
November,2.22,2.34,2.43,2.10,4.17,3.33,2.21,1.23,2.55,1.74,4.14,1.73,1.80,1.48,3.52,3.15,2.88
December,1.66,0.53,2.40,2.11,4.28,1.58,0.32,0.43,0.50,3.03,2.84,1.06,2.68,4.15,2.16,1.73,0.47
Total,20.66,19.35,26.25,22.51,20.75,23.43,28.00,21.93,19.10,15.95,22.65,23.64,29.69,21.00,23.69,18.69,
,,,,,,,,,,,,,,,,,
TYRain_1920-1930_17_pt1/033,,,,,,,,,,,,,,,,,
TYRain_1931-1940_15_pt1/103,,,,,,,,,,,,,,,,,
TYRain_1941-1950_17_pt1/185,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"# The December 1930 and January 1931 readings are noted as adjusted in the sheet comments, and have been retained.",,,,,,,,,,,,,,,,,
# The January 1940 reading is part estimated and has been retained.,,,,,,,,,,,,,,,,,
"# March, September and October 1941 readings are estimates and have been omitted.",,,,,,,,,,,,,,,,,
