KENILWORTH THICKTHORNS,,,,,,,,,,,,,,,,,,,,
Grid ref,SP297708,Long,-1.5655528,Lat,52.334487,Elevation,273,ft,,,,,,,,,,,,
Station no,RR4696,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,1.61,2.32,3.23,2.05,3.64,1.87,2.6,0.75,0.64,2.15,3.36,2.67,,,,,
February,,,,1.01,1.69,1.41,3.16,1.87,1.52,2.9,2.79,4.08,1.35,3.02,1.26,,,,,
March,,,,2.36,1.05,0.68,2.58,1.58,1,1.17,1.14,1.8,1.86,1.21,,,,,,
April,,,,0.57,1.65,1.36,2.79,2.8,2.33,3.1,2.3,0.75,2.89,1.18,,,,,,
May,,,,2.22,1.81,2.51,0.41,2.47,5.78,2.8,1.3,1.21,1.91,1.87,,,,,,
June,,,,3.2,0.75,2.94,2.4,1.05,2.54,4.61,1.95,2.04,3.76,2.86,,,,,,
July,,,,3.03,1.02,5.96,0.95,3.62,1.23,3.81,6.51,1.79,3.65,3.18,,,,,,
August,,,,2.07,2.3,1.78,1.88,4.26,6.04,5.16,1.23,4.92,1.85,0.94,,,,,,
September,,,,1.95,3.37,3.26,5.22,2.11,2.04,2.85,4.39,1.48,3.72,5.01,,,,,,
October,,,,2.32,3.11,6.92,2.25,2,3.01,1.34,4.96,2.52,5.75,2.36,,,,,,
November,,,,1.12,2.68,4.47,3.62,2.74,3.76,1.35,2.03,2.56,4.46,3.9,,,,,,
December,,,,0.59,1.77,0.72,5.32,1.97,1.92,0.64,2.76,2.99,3.02,0.85,,,,,,
Total,,,,22.05,23.52,35.24,32.63,30.11,33.04,32.33,32.11,26.78,36.37,29.74,,,,,,
