UPMINSTER HALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ564877,Long,0.255145,Lat,51.566489,Elevation,121,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,,0.98,0.35,1.92,1.56,0.62,1.88,2.89,2.06,0.59,2.21,0.6,2.18,2.54,0.54,0.6,1.89,1.67,1.01,2.82,0.89,0.97,0.76,1.11,1.13,2.79,2.34,,,,,,,,,2.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,1.22,2.26,1.13,0.1,1.99,2.64,1.62,0.46,0.31,2.19,0.96,1.55,2.89,1.19,1.12,0.78,1.96,0.64,1.66,0.92,1.19,0.92,1.99,1.07,1.45,0.58,,,,,,,,,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,2.38,1.53,2.31,2.1,1.35,0.28,0.81,1.5,2.56,2.86,1.39,0.53,0.77,1.58,1.35,1.62,1.31,2.44,1.23,0.98,1.29,3.28,0.91,1.74,2.39,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,,1.42,1.91,1.8,0.72,1.91,0.14,1.54,0.91,0.51,1.61,1.51,2.69,0.82,1.87,0.44,1.69,0.73,1.68,0.79,2.7,2.37,1.31,0.98,1.23,0.14,2.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,,1.26,3.03,1.74,2.87,1.27,0.55,1.81,0.2,0.17,0.83,2.05,1.43,1.1,1.41,2.6,1.79,1.76,1.02,1.25,1.58,1,1.05,1.87,0.48,0.88,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,,2.51,1.96,2.48,1.05,3.49,0.67,2.03,0.15,4.1,1.77,1.47,1.46,2.99,0.96,3.21,5.29,0.86,2.46,1.22,1.23,0.86,2.95,3.05,1.96,3.02,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,,5.79,2.17,4.77,4.38,1.69,2.45,2.52,3.74,1.07,0.98,0.72,1.02,2.31,2.26,1.26,4.89,2.34,1.57,0.55,2.22,3.85,3,1.92,1.14,1.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,,6.58,1.82,4.58,3.5,3.55,1.56,2.57,1.46,2.42,2.35,0.82,0.46,2.54,1.55,4.08,3.3,1.31,2.39,0.91,1.46,2.46,1.68,1.82,0.92,3.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,0.79,0.82,5.44,0.55,0.69,1.6,1.29,1.21,1.02,4.98,2.62,0.13,2.58,0.85,1.37,0.59,1.74,1.14,1.49,1.63,0.46,1.44,2.03,0.97,1.37,2.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,1.65,1.38,4.32,1.28,4,3.41,3.57,3.66,2.8,2.83,0.38,2.39,2.13,1.78,2.17,1.52,4.33,1.32,0.87,3.5,3.29,1.3,3.69,1.64,2.82,1.61,,,,,,,,,0.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,,,,,,,,2.33,4.27,1.07,2.04,1.79,2.37,2.29,3.07,2.57,1.22,1.17,1.88,3.65,1.89,0.58,1.32,2.01,1.47,2.36,3.64,1.84,0.75,0.87,3.33,3.37,1.48,,,,,,,,,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,,,,,,,,2.47,1.54,1.5,1.39,2.44,1.53,1.85,2.29,2.17,2.8,1.9,1.9,1.26,2,2.81,1.09,1.07,1.81,0.67,2.13,2.21,1.89,2.32,2.68,3.37,2.22,,,,,,,,,0.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,,,30.15,27.36,25.99,25.2,24.78,19.17,26.02,19.04,23.56,20.87,15.82,20.94,22.48,18.29,19.18,30.4,17.68,18.6,21.33,19.78,19.37,23.86,22.27,20.6,23.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
