HOLSWORTHY-CLAWTON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SX346993,Long,-4.3464,Lat,50.7698,Elevation,400,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR4101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,4.06,,,,2.2,2.88,5.82,5.65,3.89,8.04,1.63,6.55,2.18,4.51,0.74,2.68,2.8,3.22,4.24,2.67,5.78,2.79,,
February,,,,,,,3.34,,,,3.3,2.02,6.26,2.53,3.15,1.76,3.7,3.34,2.23,4.38,3.97,3.42,2.58,5.88,3.95,4.25,1.03,0.76,,
March,,,,,,,2.75,,,,1.66,1.26,3.73,4.66,1.95,1.65,4.64,3.07,2.71,0.98,1.83,3.73,1.49,1.33,3.27,1.72,3.06,1.19,,
April,,,,,,,0.64,,,,0.2,4.12,3.13,0.95,2.47,1.95,2.88,4.08,2.72,2.27,2.83,0.93,4.53,1.41,1.97,3.15,2.4,0.96,,
May,,,,,,,1.85,,,,2.02,0.38,1.97,2.34,0.99,2.05,0.29,3.75,5.54,2.26,1.39,1.72,2.62,1.44,1.16,2.42,3.44,1.56,,
June,,,,,,,1.82,,,,0.95,2.09,4.03,1.67,1.97,3.57,1.73,1.53,3.75,6.11,2.12,4.1,3.88,3.91,1.67,3.04,1.24,0.11,,
July,,,,,,,1.93,,,,1.2,4.63,3.85,4.71,3.04,2.76,1.31,5.08,1.49,4.21,5.45,2.95,5.3,3.86,3.62,1.14,2.43,,,
August,,,,,,,6.03,,,,1.6,2.08,1.76,8.46,4.88,2.56,3.65,5.4,6.12,6.22,1.66,5.83,5.08,2.22,2.72,1.81,1.86,1.73,,
September,,,,,,,6.9,,,,2.05,5.26,4.93,2.81,8.19,5.79,6.82,2.57,3.3,4.24,3.27,2.29,4.16,6.11,2.3,6.9,2.89,,,
October,,,,,,,0.8,,,,6.63,4.99,7.74,5.18,3.31,6.68,3.97,2.63,6.32,2.33,6.35,3.3,6.14,3.74,2.99,7,6.99,,,
November,,,,,,,2.17,,,,3.73,1.43,6,3.66,2.94,7.48,4.23,7.84,4.64,0.51,3.17,4.53,6.71,6.62,3.17,3.57,4.39,,,
December,,,,,,,2.49,,,,2.62,3,8.37,1.25,5.74,2.19,6.86,4.19,3.29,1.49,5.84,5.43,6.85,1.9,4.84,1.74,5.83,,,
Total,,,,,,,34.78,,,,28.16,34.14,57.59,43.87,42.52,46.48,41.71,50.03,44.29,39.51,38.62,40.91,52.14,41.64,35.9,39.41,41.34,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lived at Court Barn Clawton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1866 28th Heavy thunderstorm with great rain at Ashwater Broadwoodwidger and other places but none here,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1866 29th Another terrific storm at these places but no rain where the hay was saved though there was rain on the other side of the hill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
