PAMPISFORD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TL508484,Long,0.2008524,Lat,52.113365,Elevation,113,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,,,,1.64,0.75,0.76,2.39,2.4,1.29,2.57,2.1,2.73,1.79,2.11,0.23,1.21,1.36,1.96,1.61,1.72,,,,
February,,,,,,,,,,2.02,0.64,1.07,0.88,1.68,0.78,0.8,2.02,2.51,1.03,2.61,1.65,2.5,0.95,2.83,0.63,1.5,,,,
March,,,,,,,,,,2.07,1.85,1.05,2.3,1.36,0.75,0.46,2.47,1.79,1.11,1,1.54,1.13,1.68,1.14,0.76,0.78,,,,
April,,,,,,,,,,1.65,0.53,2.19,2.04,1.16,1.12,1.02,2.25,2.5,1.95,2.27,2.6,1.03,2.77,2.32,1.21,1.55,,,,
May,,,,,,,,,,3.34,0.64,1.05,2.51,1.59,0.97,2.13,0.65,2.17,3.44,3.4,0.47,1.31,1.26,1.19,0.67,2.96,,,,
June,,,,,,,,,,1.17,0.89,2.23,3.04,2.05,1.04,2.38,1.58,0.4,1.59,4.89,2.03,2.22,2.31,3.26,0.93,1.55,,,,
July,,,,,,,,,,0.62,1.97,3.16,5.41,2.69,1.03,5.45,0.53,3.5,0.22,4.04,5.23,1.85,2.2,2.56,2.09,0.62,,,,
August,,,,,,,,,,0.93,1.48,0.77,1.42,2.2,1.05,1.07,2.03,4.77,3.43,4.47,1.19,5.1,1.4,0.66,1.36,1.58,,,,
September,,,,,,,,,,3.59,1.65,3.85,1.34,2.39,2.05,2.72,3.73,1.58,1.38,2.09,4.63,1.96,2.1,3.66,1.89,,,,,
October,,,,,,,,,,1.04,2.21,0.87,3.04,2.09,2.74,2.86,1.42,0.97,2.08,1.01,4.6,2.05,4.87,2.44,1.74,,,,,
November,,,,,,,,,,2.25,0.81,0.59,2.78,2.22,1.71,3.65,2.44,3.09,4.81,1.14,1.87,1.93,2.49,2.35,1.07,,,,,
December,,,,,,,,,,3.13,2.81,1.01,3.31,0.5,1.87,1.19,3.58,1.91,1.18,0.94,2.39,3.46,2.42,1.94,2.21,,,,,
Total,,,,,,,,,,23.45,16.23,18.6,30.46,22.33,16.4,26.3,24.8,27.92,24.01,29.97,28.43,25.75,25.81,26.31,16.17,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Some duplicate values in 1882 from side by side weekly & monthly gauges.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
