"TONBRIDGE COLEBROOKE",,,,,,,,,,,,
Grid ref,TQ611427,Long,0.302526,Lat,51.160871,,,,,,,
Station no,RR4525,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,1.11,2.45,4.94,1.31,4.28,1.20,1.69,1.11,,
February,,,1.47,1.69,3.53,1.02,2.30,1.63,1.23,0.65,,
March,,,1.59,2.81,1.80,3.85,2.06,1.01,2.83,4.11,,
April,,,0.75,2.16,1.08,2.63,1.39,3.21,2.43,1.43,,
May,,,2.47,1.88,2.47,1.55,1.84,2.17,1.58,1.72,,
June,,,2.53,5.44,1.00,4.62,2.21,2.09,2.17,3.18,,
July,,,2.81,5.25,1.01,0.57,0.92,1.20,3.36,3.23,,
August,,,3.10,4.06,1.36,2.14,0.72,2.05,4.27,2.30,,
September,,1.05,0.53,2.19,1.65,1.71,1.30,0.55,2.23,3.99,,
October,,3.19,2.37,6.77,2.13,1.82,4.30,5.02,1.78,6.41,,
November,,0.67,2.64,2.31,1.60,5.06,6.11,2.31,1.06,1.07,,
December,,4.58,2.03,2.02,3.81,0.67,1.86,3.20,3.20,5.65,,
Total,,,23.40,39.03,26.38,26.95,29.29,25.64,27.83,34.85,,
Calc annual,0.00,9.49,23.40,39.03,26.38,26.95,29.29,25.64,27.83,34.85,,
Difference,NaN,NaN,-0.00,-0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,,
