"GLENDEVON, TORMAUKIN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NN994043,Long,-3.623888,Lat,56.220591,Elevation,770,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,5529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,9,4,2,8.25,4,6.54,7.86,6.68,3.13,3.69,4.71,5.41,4.3,10.23,2.28,7.48,5.58,6.32,8.15,5.46,5.66,4.93,7.21,9.73,8.71,13.86,1.5,
February,,,,6.44,5,3.3,8.41,3.4,2.59,1.7,5.48,9.19,4.96,3.63,6.51,8.98,8.73,1.17,7.94,2.13,7.3,0.96,3.67,5.44,1.14,7.45,7.9,3.33,7.5,2.46,
March,,,,7.2,4.45,4.3,3.8,3.9,5.34,4.47,3.28,3.22,7.53,9.61,7.2,2.47,4.63,2.87,2.82,4.33,4.2,10.42,4.34,3.15,0.99,1.65,4.5,4.45,4.94,0.62,
April,,,,1.32,5,1.74,2.5,2.5,1.45,4.81,4.87,3.81,0.82,4.04,3.29,3.81,4.5,2.55,1.58,3.81,3.35,1.48,3.14,3.78,3.1,6.52,3.17,2.39,1.7,1.39,
May,,,,2.13,3,3,7.26,4.8,3.36,4.06,2.5,1.92,2.15,3.89,3.03,1.7,5.68,4.24,3.55,1.1,5.28,4.62,4.56,2.9,7.34,8.19,3.88,2.9,2.09,4.09,
June,,,,4.37,2,1.5,1.85,6,3.96,1.56,1.67,2.92,5.66,4.03,0.87,2.33,6.33,3.21,1.56,3.65,1.32,0.29,1.5,2.52,4.29,0.72,4.02,5.72,5.97,3.1,
July,,,,7.36,3.22,3.22,2.39,2.61,4.06,3.75,5.11,3.2,3.02,0.83,5.02,4.57,5.08,2.37,5.34,1.58,3.47,4.16,7.05,2.93,6.29,2.19,4.66,4.6,3.27,4.93,
August,,,,7,6.35,4.72,3,4.37,3.39,3.33,9.92,3.7,4.53,1.47,3.88,5.24,2.75,8.04,4.33,2.72,5.94,7.43,3.69,8.43,5.15,4.46,4.66,6.92,6.71,7.06,
September,,,,5,2,2.5,2,1.38,8.99,2.03,1.1,2.21,3.77,3.04,2.01,2.27,1.47,4.13,7.01,3.94,2.91,2.01,2.51,5.72,7.06,3.96,4.76,7.74,5.16,1.2,
October,,,,11.5,3.29,4,7.5,9.17,3.1,9.08,4.02,5.53,5.88,4.42,2.61,4.32,9.9,8.6,8.57,1.55,1.57,5.64,3.4,5.8,4.59,4.35,5.71,7.46,8.8,6.29,
November,,,,4,1.8,7.6,5,5,6.49,2.32,4.31,10.57,6.1,6.67,9.35,4.23,10.16,5.6,4.06,5.97,6.2,3.31,4.14,3.26,3.75,1.28,9.07,6.03,7.03,7.6,
December,,,,6,3,6.25,2.4,5.5,5.53,7.76,3.02,6.88,16.97,4.64,12.76,8.34,7.07,2.05,4.69,7.56,6.37,7.6,5.69,4.47,8.43,4.92,1.35,1.84,6.78,7.77,
Total,,,,71.32,43.11,44.13,54.36,52.63,54.8,52.73,51.96,56.28,65.08,50.98,61.94,52.56,76.53,47.11,58.93,43.92,54.23,56.07,49.15,54.06,57.06,52.9,63.41,62.09,73.81,48.01,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5 "" Gauge",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
