"GLENDEVON, TORMAUKIN",,,,,,,,,,,,,,,,,,,,,
Grid ref,NN994043,Long,-3.623888,Lat,56.220591,Elevation,770,ft,,,,,,,,,,,,,
Station no,5529,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,,,,6.78,4.16,6.23,6.46,,,,,,,
February,,,,,,,,,,,0.89,4.3,0.06,3.06,,,,,,,
March,,,,,,,,,,,2.93,1.49,3.6,3.38,,,,,,,
April,,,,,,,,,,,1.69,2.72,5.85,1.98,,,,,,,
May,,,,,,,,,,,2.89,5.25,4.28,2.04,,,,,,,
June,,,,,,,,,,,3.47,6.74,1.22,2.08,,,,,,,
July,,,,,,,,,,,4.06,6.67,5.26,5.05,,,,,,,
August,,,,,,,,,,,6.13,3.8,1.03,3.1,,,,,,,
September,,,,,,,,,,,6.54,2.25,3.31,1.88,,,,,,,
October,,,,,,,,,,,7.28,4.74,7.92,4.09,,,,,,,
November,,,,,,,,,,,6.12,10.79,4.82,2.67,,,,,,,
December,,,,,,,,,,,5.61,3.98,14.96,1.49,,,,,,,
Total,,,,,,,,,,,54.39,56.89,58.54,37.28,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"8"" Gauge",,,,,,,,,,,,,,,,,,,,,
