DOWNPATRICK (THE MALL),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,IJ483445,Long,-5.7199422,Lat,54.327993,Elevation,80,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,6199/7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,1.23,2.31,0.56,4.47,3.14,3.27,4.38,4.72,3.49,6.48,4.49,3.07,2.36,4.06,4.2,7.56,1.93,0.67,4.29,3.05,0.8,1.88,3.83,,3.79,3.24,2.25,4.2
February,,,2.3,0.11,3.02,2.79,4.66,1.43,2.43,2.79,3.09,0.9,0.8,0.65,2.39,2.26,1.81,2.31,1.03,3.32,3.72,0.27,0.79,3.56,3.8,,3.45,3.48,1.13,2.37
March,,,2.56,1.52,1.06,2.51,4.13,0.8,2.53,4.15,3.08,3.8,0.63,0.34,1.34,2.19,6.22,2,1.84,1.62,2.88,1.2,0.32,3.87,1.47,,3.64,1.74,2.73,3.2
April,,,1.47,1.93,2.94,1.14,2.06,0.08,1.55,4.01,2.15,2.25,1.37,1.66,1.43,0.99,4.54,1.52,1.84,2.95,1.18,1.54,1.73,0.38,1.81,,1.23,1.4,2.08,3.26
May,,,2.12,2.38,0.65,1.72,1.26,2.08,0.88,1.67,1.98,5.41,3.37,1.16,3.1,1.52,4.7,4,1.82,0.74,3.41,1.69,2.15,3.6,2.89,,,3.79,1.53,2.66
June,,,2.42,1.26,3.12,2.99,2.33,3.32,1.95,1.01,0.41,0.31,4.34,2.48,5.12,2.54,3.89,3.2,0.62,2.43,1.94,1.61,1.64,2.09,4.62,,,5.48,2.71,1.65
July,,,2.34,1.28,1.44,5.42,3.03,5.09,3.32,4.31,2.73,2.32,1.74,4.12,3.75,2.36,3.85,2.19,2.8,3.39,2.06,1.65,3.44,2.64,0.75,,,4.05,1.69,4.12
August,,,1.59,4.73,1.41,2.92,2.33,2.1,2.34,0.61,3.73,3.08,3.63,2.48,1.41,3.53,0.38,3.75,4.34,5.62,4.1,4.8,3.1,2.45,1.42,,4.38,4.5,0.63,4.88
September,,,0.5,5.12,4.19,3.67,2.94,2.74,2.6,2.13,2.03,3.71,2.15,4.13,3.02,7.13,2.24,2.73,3.58,4.54,3.14,1.27,2.49,3.59,,4.35,3.9,5.8,2.63,3.42
October,,,1.15,3.29,2.93,1.7,3.21,5.76,2.84,4.41,3.63,2.79,2.38,4.13,3.26,0.99,1.86,2.24,6.25,3.14,0.43,5.59,2.07,5.13,,1.83,3.47,1.4,3.53,5.32
November,,,1.5,1.48,4.3,3.69,1.47,4.02,3.94,4.78,3.12,0.56,1.9,4.84,2.19,5.6,4.08,1.34,2.94,2.21,6.84,2.55,3.39,4.98,,2.47,2.06,1.88,3.97,4.39
December,,,1.81,6.87,3.07,2.16,4.16,3.67,2.2,2.82,1.02,2.87,2.02,4.15,3.25,5.15,3.26,5,3.28,2.38,3.73,2.8,3.23,3.42,,3.72,4.83,4.4,4.34,2.76
Total,,,20.99,32.28,28.69,35.18,34.72,34.36,30.96,37.41,30.46,34.48,28.82,33.21,32.62,38.32,41.03,37.84,32.27,33.01,37.72,28.02,25.15,37.59,,,,41.16,29.22,42.23
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1958 Jan 3.24, Mar 1.74, Apr 1.40, Sept 5.80 and total estimated therefore removed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
