LOCH SLOY,,,,,,,,,,
Grid ref,NN278222,Long,-4.788991,Lat,56.360688,Elevation,1200,ft,,
Station no,5573/9,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,11.4,6.37,7.85,17.23,12.54,3.74,7.3
February,,,,8.88,4.53,5.07,7.88,4.82,5.72,7.36
March,,,,9.03,1.72,4.74,12.47,2.63,10.02,3.36
April,,,,5.36,7.35,4.87,4.99,5.47,7.83,11.22
May,,,,6.72,6.59,6.95,4.2,8.71,2.84,6.48
June,,,,7.79,5.98,7.1,5.26,3.79,7.02,6.05
July,,,,7.25,1.81,9.13,9.08,5.47,10.18,8.75
August,,,,9.95,2.79,8.36,10.29,9.2,7.95,6.04
September,,,,16.73,12.6,9.56,6.68,10.61,2.64,5.12
October,,,,18.89,11.36,9.31,16.11,12.83,13.57,5.91
November,,,,18.01,7.3,9,5.79,2.9,12.61,12.5
December,,,,22.75,19.68,19.12,15.96,11.91,15.6,13.88
Total,,,,142.76,88.08,101.06,115.94,90.88,99.72,93.97
,,,,,,,,,,
BR 1955 P ,,,,,,,,,,
BR 1956 NP Low,,,,,,,,,,
BR 1957 P,,,,,,,,,,
BR 1958 NP Low,,,,,,,,,,
BR 1959 NP Low,,,,,,,,,,
BR 1960 P,,,,,,,,,,
,,,,,,,,,,
Station no,5573/9,,,,,,,,,
Midas,13712,,,,,,,,,
Hyd Stn,661777,,,,,,,,,
