CHICKERELL-LOWER-PUTTON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SY650805,Long,-2.49539,Lat,50.62316,Elevation,65,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,1558/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,3.58,5.37,3.25,4.58,4.7,6.35,2.29,2.67,2.88,2.81,5.27,0.69,0.69,3.2,1.7,0.8,1.68,2.73,4.35,3.22,,,
February,,,,,,,,0.81,1.84,4.11,3.97,0.08,1.28,0.37,1.89,2.66,2.07,1.1,1.19,5.12,5.04,0.56,1.71,3.13,1.97,0.07,3.96,,,
March,,,,,,,,0.31,0.94,3.06,3.2,2.45,1.13,0.16,0.89,1.31,8.02,1.12,1.48,1.28,3.67,2.84,0.59,4.18,1.43,0.65,2.36,,,
April,,,,,,,,0.06,1.92,1.48,2.19,1.7,0.96,2.06,0.59,2.56,1.9,1.54,1.46,1.49,1.91,1.44,2.19,0.06,0.72,1.57,0.28,,,
May,,,,,,,,1.23,0.87,1.61,2.86,4.63,2.48,0.25,2.63,3.58,2.19,1.93,1.89,1.52,2.46,2.37,2.78,1.54,3.55,0.49,1.82,,,
June,,,,,,,,0.56,2.23,0.35,2.44,0.35,0.8,1.99,2.59,4.02,2.07,1.63,0.81,1.24,0.39,0.97,2.06,2.83,2.51,2.21,2.32,,,
July,,,,,,,,2.16,3.6,2.39,1.28,1.37,2.08,3.08,2.03,1.29,1.38,1.41,0.94,5.48,2.09,0.71,2.73,3.61,6.48,2.63,3.96,,,
August,,,,,,,,2.82,2.5,0,3.53,4.12,1.97,1.99,2.24,3.59,1.3,2.96,1.57,3.49,4.88,2.06,1.74,3.11,0.6,3.17,2.87,,,
September,,,,,,,,1.5,0.81,1.98,1.42,2.51,2.92,1.74,2.51,4.08,1.32,2.69,4.66,4.14,3.8,4,3.09,2.69,1.71,4.22,3.44,,,
October,,,,,,,4.34,3.27,5.88,5.25,1.18,3.96,3.87,3.42,3.76,1.45,1.01,2.12,5.98,1.03,0.66,4.93,3.4,2.41,3.34,2.49,,,,
November,,,,,,,2.67,5.58,5.96,7.92,1.84,1.74,2.17,5.57,1.72,5.68,1.89,2.42,4.13,5.97,8.82,3.67,1.54,5.46,2.64,0.8,,,,
December,,,,,,,3.31,3,2.17,2.53,2.2,4.14,3.46,2.31,3.64,3.89,3.17,4.49,1.83,2.56,2.49,2.55,0.6,2.99,5.03,4.73,,,,
Total,,,,,,,,24.88,34.09,33.93,30.69,31.75,29.47,25.23,27.16,36.99,29.13,28.68,26.63,34.01,39.41,27.8,23.23,33.69,32.71,27.38,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Glen Lower Putton Lane nr Putton Farm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Although most of the village is higher than this area the given altitude of 45ft is too low and original value of 100ft too high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1937 Gauge moved 5 miles  SE from Abbotsbury Cotoneaster Stn No 1565/1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1957 Oct 15 Station moved 3miles NE  to Upwey Stn No 1566/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960 Note says do not punch Not clear where data from,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
