"NORWICH DUNSTON HALL",,,,,,,,,,,,
Grid ref,TG225020,Long,1.281872,Lat,52.570287,,,,,,,
Station no,RR3184,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.00,0.60,1.17,1.57,1.61,0.90,4.20,1.25,0.82,0.83,,
February,3.38,1.44,0.89,0.36,2.91,1.65,2.85,1.70,2.10,0.58,,
March,1.13,1.70,1.30,1.92,1.91,2.12,1.78,1.36,2.27,2.85,,
April,1.99,2.26,1.39,2.51,0.88,2.24,0.71,3.64,2.57,1.45,,
May,2.12,1.00,3.77,1.79,1.89,1.21,2.19,2.20,1.58,1.19,,
June,2.99,1.44,2.19,2.67,0.81,2.93,1.89,2.68,0.90,3.19,,
July,1.88,1.84,2.40,5.19,1.78,0.79,0.48,1.51,3.58,2.74,,
August,3.65,0.74,3.69,2.94,2.12,2.60,1.24,1.16,4.21,1.92,,
September,0.84,0.78,1.78,3.28,1.55,2.16,1.12,0.48,2.44,1.73,,
October,2.20,2.26,1.60,4.92,1.23,3.78,3.07,3.28,1.23,3.90,,
November,1.92,1.90,1.50,1.58,1.76,1.89,4.19,2.52,1.24,1.19,,
December,2.78,2.92,1.69,1.23,2.28,1.00,3.04,2.83,1.57,5.08,,
Total,27.88,18.88,23.37,29.96,20.73,23.27,26.76,24.61,24.51,26.65,,
Calc annual,27.88,18.88,23.37,29.96,20.73,23.27,26.76,24.61,24.51,26.65,,
Difference,-0.00,0.00,-0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,,
