LYDD-WESTBROKE-HOUSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TR039217,Long,0.90203406,Lat,50.958641,Elevation,10,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,1.67,3.11,1.45,2.42,3.2,2.7,2.48,3.78,1,2.69,2.54,1.99,3,2.86,1.18,3.98,4.44,2.87,5.04,2.51,2.4,,,,,,,,,
February,,0.92,1.97,3.5,0.56,3.48,2.71,3.18,1.1,0.69,1.2,2.02,0.31,1.79,0.05,3.14,1.56,4.14,0.91,1.19,1.41,1.9,,,,,,,,,
March,,0.97,1.79,2.04,1.93,1.07,0.28,2.18,1.32,0.04,1.86,0.39,1.61,1.67,2.23,0.33,0.87,4.15,0.75,1.83,1.79,1.7,,,,,,,,,
April,,1.05,1.7,1.47,3,2.5,3.38,1.74,2.28,0.65,1.06,2.9,1.91,1.21,2.14,2.79,1.65,2.76,0.63,2.38,1.2,0.66,,,,,,,,,
May,,1.68,0.21,3.57,2.91,2.56,1.37,0.7,2.54,2.07,3.42,1.78,3.31,1.06,0.49,1.15,0.19,2.78,2.06,0.76,1.19,1.46,,,,,,,,,
June,,0.08,1.38,0.57,2.32,0.18,2.46,4.47,2.35,1.86,1.18,0.52,1.33,1.45,1.19,1.91,2.82,1.82,0.7,2.14,0.62,1.36,,,,,,,,,
July,,0.21,1.67,0.68,2.91,2.84,1.59,5.96,1.01,0.92,3.62,2.18,3.33,0.96,0.85,0.25,3.85,1.07,1.25,2.3,1.78,2.4,,,,,,,,,
August,,1.3,1.52,1.29,3.6,1,1.02,3.32,1.41,2.1,3.21,3.25,0.42,0.87,1.94,5.41,2.39,1.18,2.06,1.84,0.02,3.6,,,,,,,,,
September,,0.58,3.24,1.65,2.04,3.21,0.41,3.18,0.42,0.78,2.66,1.72,2.25,5.18,1.04,3.86,2.75,2.05,2.19,1.36,1.58,0.12,,,,,,,,,
October,,0.58,2.05,6.04,3.56,3.97,3.9,1.35,7.77,3.55,1.73,0.37,9.01,2.18,1.81,3.5,1.43,2.46,3.08,9.45,2.83,1.73,,,,,,,,,
November,,1.56,1.48,1.96,3.28,3.04,7.11,2.73,4.12,5,5.58,4.84,0.96,1.59,2.25,5.4,3.64,1.22,2.85,4.71,4.26,2.76,,,,,,,,,
December,,1.96,2.97,3.1,4.2,4.44,0.72,4.48,2.2,7.52,2.89,0.64,0.27,0.44,6,3.15,1.96,4.23,2.84,1.25,1.61,1.41,,,,,,,,,
Total,22.5,12.56,23.09,27.32,32.73,31.49,27.65,35.77,30.3,26.18,31.1,23.15,26.7,21.4,22.85,32.07,27.09,32.3,22.19,34.25,20.8,21.5,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
