PERRY HALL (BIRMINGHAM),,,,,,,,,,,,,,,,,,,,
Grid ref,SP061919,Long,-1.9115217,Lat,52.524942,Elevation,343,ft,,,,,,,,,,,,
Station no,RR4704,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,2.72,1.64,3.23,2.39,0.9,0.76,3.35,2.5,1.9,1.89,1.86,3.71,,,,
February,,,,,1.61,3.03,0.84,0.67,0.65,1.65,0.7,0.13,1.38,2.98,2.63,0.24,,,,
March,,,,,2.45,1.01,2.99,1.84,2.52,3.17,1.68,1.37,0.87,0.68,1.2,2.2,,,,
April,,,,,1.65,2.78,2.11,1.35,2.12,3.8,0.87,2.07,1,0.49,1.59,2.22,,,,
May,,,,,1.05,2.52,6.15,1.76,1.1,3.68,2.44,3.58,2.04,2.09,2.35,0.78,,,,
June,,,,,2.32,3.86,1.24,2.24,2.24,0.7,2.24,2.55,2.98,1.74,2.68,1.05,,,,
July,,,,,3.28,0.3,2.96,0.65,5.95,1.75,2.51,2.5,2.01,1.94,3.97,3.48,,,,
August,,,,,1.93,2.6,1.35,1.62,3.66,3.94,3.03,4.4,3.23,1.78,2.43,3.02,,,,
September,,,,,1.38,3.62,2.81,2.73,1.14,2.98,1.28,1.67,2.66,1.64,1.86,0.61,,,,
October,,,,,1.75,4.99,3.82,2.21,0.46,3.85,1.94,5.84,3.11,2.56,3.46,3.55,,,,
November,,,,,1.41,3.36,1.8,1.92,4.64,1.2,3.75,2.56,1.83,1.51,2.58,3.91,,,,
December,,,,,2.18,1.03,3.93,1.66,2.56,1.86,0.75,3.14,1.8,3.27,2.23,2.3,,,,
Total,,,,,23.73,30.74,33.23,21.04,27.94,29.34,24.54,32.31,24.81,22.57,28.84,27.07,,,,
