"SHILLINGFORD RECTORY",,,,,,,,,,,,
Grid ref,SX904878,Long,-3.552622,Lat,50.679506,,,,,,,
Station no,1766/3,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.16,2.98,0.37,1.83,5.11,3.89,3.17,3.98,5.05,4.13,,
February,4.95,0.49,1.27,3.40,2.95,0.22,5.77,4.25,0.32,4.93,,
March,4.26,2.72,0.57,2.97,1.65,1.49,3.49,2.06,4.94,2.86,,
April,1.67,2.58,2.75,0.06,0.92,0.97,0.11,0.37,3.91,3.17,,
May,3.46,3.04,2.70,2.72,3.25,0.96,2.42,3.17,1.29,2.40,,
June,0.94,0.61,1.57,3.20,2.94,1.75,1.90,4.53,1.52,0.67,,
July,2.09,1.01,2.04,2.22,3.44,3.36,3.05,3.86,1.96,4.55,,
August,3.20,4.93,1.66,2.51,0.86,2.83,2.31,3.33,2.84,3.57,,
September,4.11,2.84,2.48,2.40,1.37,6.00,1.80,3.88,0.44,9.20,,
October,1.51,5.30,3.64,2.74,1.70,2.38,1.57,3.55,3.64,10.70,,
November,5.84,3.79,1.90,7.73,3.93,2.06,2.93,2.88,8.87,3.87,,
December,2.66,3.03,0.57,3.51,5.99,5.86,3.07,4.71,7.44,3.73,,
Total,37.85,33.32,21.52,35.29,34.11,31.77,31.59,40.57,42.22,53.78,,
Calc annual,37.85,33.32,21.52,35.29,34.11,31.77,31.59,40.57,42.22,53.78,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
