SHILLINGFORD-RECTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SX904878,Long,-3.5521,Lat,50.6796,Elevation,190,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,1766/3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,5.34,2.39,6.49,4.6,8.66,1.89,3.12,3.71,3.78,6.47,0.66,1.11,3.16,2.98,0.37,1.83,5.11,3.89,3.17,3.98,5.05,4.13
February,,,,,,,,,1.33,5.27,3.61,0.25,1.89,0.45,1.71,2.83,2.3,1.35,1.67,6.51,4.95,0.49,1.27,3.4,2.95,0.22,5.77,4.25,0.32,4.93
March,,,,,,,,,1.77,2.93,2.95,2.91,1.7,0.28,0.63,1.81,8.77,1.31,1.26,1.9,4.26,2.72,0.57,2.97,1.65,1.49,3.49,2.06,4.94,2.86
April,,,,,,,,,2.61,3.63,1.24,1.62,1.11,1.95,0.69,2.92,2.23,2.68,1.91,2.13,1.67,2.58,2.75,0.06,0.92,0.97,0.11,0.37,3.91,3.17
May,,,,,,,,,0.39,1.74,2.64,6.53,3.97,0.4,3.93,6.79,3.45,2.1,2.03,2.07,3.46,3.04,2.7,2.72,3.25,0.96,2.42,3.17,1.29,2.4
June,,,,,,,,,2.56,1.28,1.89,1.1,1.48,2.17,2.44,2.28,2.36,1.75,0.79,0.68,0.94,0.61,1.57,3.2,2.94,1.75,1.9,4.53,1.52,0.67
July,,,,,,,,,5.63,2.88,0.57,1.76,3.44,2.33,2.92,1.39,1.49,1.12,1.97,3.56,2.09,1.01,2.04,2.22,3.44,3.36,3.05,3.86,1.96,4.55
August,,,,,,,,3.45,2.26,0.06,3.8,3.38,2.19,4.18,1.36,3.5,1.29,2.63,1.23,4.15,3.2,4.93,1.66,2.51,0.86,2.83,2.31,3.33,2.84,3.57
September,,,,,,,,1.07,0.71,1.45,1.28,2.75,3.06,2.1,2.67,6.33,2.68,0.64,3.86,3.9,4.11,2.84,2.48,2.4,1.37,6,1.8,3.88,0.44,9.2
October,,,,,,,,2.85,5.26,4.62,0.99,2.87,4.49,4.08,4.24,2.81,1,2.96,6.37,1.23,1.51,5.3,3.64,2.74,1.7,2.38,1.57,3.55,3.64,10.7
November,,,,,,,,5.07,6.2,6.1,3.5,1.25,3.08,5.86,1.12,6.02,2.25,2.33,4.66,7.38,5.84,3.79,1.9,7.73,3.93,2.06,2.93,2.88,8.87,3.87
December,,,,,,,,4.03,1.58,3.75,3.31,4.71,3.59,3.43,6.16,4.45,2.74,5.84,1.15,4.61,2.66,3.03,0.57,3.51,5.99,5.86,3.07,4.71,7.44,3.73
Total,,,,,,,,,35.64,36.1,32.27,33.73,38.66,29.12,30.99,44.84,34.34,31.18,27.56,39.23,37.85,33.32,21.52,35.29,34.11,31.77,31.59,40.57,42.22,53.78
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moved from Stn No 2649/6 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938 July in brackets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1959 Dec Original value 7.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1959 Total Original value 42.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Post 1960 this appears to be Shillingford St George but clearly moved again,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRC_ID 8316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938-1979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
