"BOLTON-LE-MOORS ASH LAWN and BLOOMFIELD, HEATON",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD683096,Long,-2.48028,Lat,53.582025,Elevation,530,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,2849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,3.75,6.06,5.47,2.88,6.14,2.89,2.61,1.87,5.88,2.51,4.54,2.23,3.19,4.37,1.88,2.31,2.86,5.61,6.1,3.18,4.52,3.12,3.73,2.36,6.66,2.23,3.67,2.25,5.1,1.53,4.37,4.42,2.88,5.52,3.17,2.86,2.97,5.32,3.71,6.54,4.42,3.9,3.46,2.13,4.07,4.34,10.13,2.92,4.9,7.05,5.12,2.69,3.5,3.24,4.71,3.43,5.32,6.34,3.4
February,,,2.32,3.11,3.25,4.06,1.17,0.97,1.62,3.15,0.53,0.23,4.07,5.23,5.83,0.4,1.9,4.08,3.34,1.73,3.73,1.92,2.31,4,3.87,3.13,4.76,2.1,4.22,1.62,3.67,4.15,2.12,1.51,2.06,3.97,4.52,1.78,4.36,1.27,3.5,0.44,4.54,5.77,1.62,5.66,3.4,1.87,3.9,1.46,0.33,5.94,0.13,4.59,0.46,5.69,2.65,6.67,1.85,4.94,2.94
March,,,3.88,1.42,3.35,3.02,3.07,2.05,3.74,2.77,4.38,2.1,1.29,1.6,3.83,4.71,7.2,3.86,3.04,2.51,1.03,3.54,2.94,4.25,2.21,3.86,3.46,3.54,3.74,4.05,1.05,2.06,6.65,4.41,4.6,2.1,1.96,2.69,2.15,7.35,3.64,2.82,3.09,1.89,1.84,2.16,1.62,4.8,2.41,1.44,2.7,1.13,3.04,2.84,3.27,1.77,2.76,1.86,2.13,2.35,3.13
April,,,5.71,2.35,1.12,1.75,2.29,1.35,2.27,2.66,1.66,2.61,1.9,0.54,2.4,2.12,2.53,3.07,2.14,4.76,2.53,3.37,2.72,2,2.72,4.08,2.23,2.18,3.12,3.96,3.99,3.46,0.85,5.04,1.4,2.24,3.9,2.37,1.28,3.1,5.59,2.15,2.61,3.25,2,2.06,1.27,2.23,1.21,1.27,1.88,3.92,3.74,1.78,2.81,3.46,1.25,3.94,0.63,3.08,3.25
May,,,3.07,0.74,1.91,2.56,5.84,3.19,0.83,4.25,2.82,3.17,3.91,2.5,3.66,1.09,0.83,2.53,3.71,3.14,2.14,1.25,4.47,4.62,2.96,0.82,4.04,4.12,3.6,3.16,3.88,1.86,2.64,3.85,2.62,1.98,2.8,2.33,3.04,1.67,6.87,2.71,1.99,2.95,5.41,4.46,3.79,1.68,1.01,2.51,1.84,2.86,4.65,1.89,3.48,1.62,0.97,2.6,5.11,1.69,1.51
June,,,7.79,4.68,0.85,5.24,2.19,1.23,2.91,0.84,3.77,2.82,4.45,2.2,3.91,2.17,2.8,5.34,3.51,1.39,2.76,2.44,1.22,2.33,1.5,2.83,2.28,7.56,2.56,3.19,3.91,3.3,5.32,2.75,2.07,2.8,4.16,2.25,2.41,2.54,2.53,0.52,2.91,1.41,2.73,0.15,1.9,5.17,5.39,1.97,3.21,5.04,0.85,4.03,1.88,5.31,4.06,2.06,4.69,3.45,1.28
July,,,7.42,3.73,4.95,2.2,4.86,1.58,7.92,4.26,3.94,3.22,4.24,3.7,4.95,5.86,3.43,1.59,1.09,3.78,2.31,2.56,4.04,3.94,1.72,2.54,2.07,4.08,5.73,6.69,5.19,0.47,5.52,1.27,6.21,4.68,3.4,2.6,3.97,2.25,7.38,2.24,4.63,5.38,4.75,2.26,3.51,3.97,2.22,3.41,7.04,3.98,4.68,2.77,2.04,1.99,5.52,2.63,4.35,7.02,5.68
August,,,4.67,3.52,1.58,2.09,2.77,1.87,4.7,7.58,5.88,8.23,5.23,4.1,5.92,5.04,2.89,5.25,7.02,1.57,6.7,3.45,3.21,5.91,4.72,5.65,5.68,5.19,3.71,3.61,6.46,3.18,8.88,3.47,3.45,6.14,4.06,7.13,4.48,4.59,2.55,6.02,5.84,5.94,8.14,4.61,5.1,6.55,5.01,7.31,8.49,6.81,1.7,2.39,4.94,2.05,2.96,3.02,4.73,1.91,2.48
September,,,2.42,7.73,4.97,6.31,4.44,5.06,1.85,4.79,1.94,4.09,5.19,5.73,0.64,1.77,9.62,5.17,1.41,7.36,2.39,1.35,2.41,5.81,1.7,3.05,2.3,1.4,4.97,3.21,0.47,4.5,3.15,2.29,4.62,1.35,3.45,2.54,11.27,2.32,3.54,1.45,5.03,4.99,4.55,4.97,4.28,6.98,0.97,2.48,4,4.31,5.16,0.94,3.73,7.38,5.88,2.09,3.35,1.52,4.31
October,,,3.48,6.59,2.93,7.4,6.2,2.85,2.38,3.61,4.86,5.46,7.02,4.75,4.21,4.41,5.03,2.62,3.92,3.7,6.94,4.07,5.92,9.85,2.92,4.98,7.39,3.86,2.4,5.9,3.96,3.21,5.3,2.53,2.88,2.31,7.11,7.92,4.95,3.13,1.47,2.66,0.57,5.37,4.79,4.62,3.71,3.9,6.45,6.65,7.06,3.03,8.44,5.04,6.5,9.3,5.37,2.52,10.45,2.78,4.44
