"MUNGOS WALLS, DUNS, BERWICKSHIRE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NT809522,Long,-2.3059451,Lat,55.762769,Elevation,267,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,,,,0.72,1.41,5.3,1.56,1.82,3.36,1.12,2.89,2.12,5.18,3,2.29,1.72,1.14,2.85,2.6,1.09,3.47,1.15,4.85,3.11,
February,,,,,,,,,0.52,0.6,0.8,2.02,1.72,0.56,2.22,1.58,3.11,1.05,1.81,1.88,2.5,3,2.86,1.95,1.47,1.97,3.57,1.74,0.89,
March,,,,,,,,,0.88,1.66,1.39,2.48,4.21,1.1,3.86,1.18,2.97,1.54,1.52,1.46,1.08,0.8,3.24,1.8,1.57,1.45,2.72,2.99,1.13,
April,,,,,,,,,0.94,2.11,0.64,1.92,1.68,1.83,0.97,1.51,1.86,2.59,2.67,1.67,0.52,3.6,3.16,0.58,1.12,0.79,3.41,2.88,1.33,
May,,,,,,,,,1.78,0.07,1.33,0.95,3.06,1.63,2.65,4.25,1.35,2.99,1.58,2.62,1.18,1.74,3.77,2.52,1.65,1,1.17,2.54,2.77,
June,,,,,,,,,1.28,1.95,4.01,2.62,2.48,3.5,1.22,0.27,1.33,1.64,0.4,3.05,2.12,2.4,4.45,1.32,1.27,2.01,2.53,2.73,2.14,
July,,,,,,,,2.13,3.54,3.49,2.13,3.08,2.62,0.41,1.73,2.56,4.57,6.04,0.44,0.8,0.87,3.11,2.77,3.25,3.11,2.43,0.81,3.25,1.2,
August,,,,,,,,1.19,1.15,0.71,1.69,2.4,4.1,5.23,0.55,2.95,3.08,1.22,2.71,1.24,2.39,1.91,2.99,3.74,3.83,1.23,4.29,6.34,2.98,
September,,,,,,,,2.65,2.13,1.14,0.85,3,1.41,2.51,2.95,0.5,2.75,1.68,3.83,3.61,1.42,3.49,7.53,2.92,1.7,3.02,4.12,1.56,2.56,
October,,,,,,,,2.05,3.71,4.65,2.57,0.91,2.78,2.4,8.1,7.88,1.39,1.39,2.22,2.17,3.31,2.45,5.11,3.9,2.48,3.08,2.14,3.56,2.64,
November,,,,,,,,2.16,3.26,2.45,3.6,5.86,0.83,3.15,2.83,2.33,2.58,0.57,2.52,1.29,3.09,2.8,4.91,2.43,4.04,4.27,4.42,1.74,6.17,
December,,,,,,,,0.74,1.69,4.01,5.56,1.57,2.09,1.9,3.15,1.78,2.59,2.26,3.56,3.1,3.65,2.84,3.7,0.82,3.57,2.4,6.78,1.75,3.55,
Total,,,,,,,,,21.6,24.25,29.87,28.37,28.8,27.58,31.35,29.68,29.7,28.15,26.26,25.18,23.85,29.28,47.34,27.83,26.9,27.12,37.11,35.93,30.47,
