"HEMINGFORD GREY (CHURCH LANE)",,,,,,,,,,,,
Grid ref,TL293708,Long,-0.104380,Lat,52.320080,,,,,,,
Station no,1151/9,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.90,1.78,0.85,1.06,2.03,3.96,1.19,2.31,3.13,2.38,,
February,2.70,0.76,1.80,2.01,2.11,0.88,2.31,2.73,0.13,1.36,,
March,3.00,2.70,0.36,2.48,1.74,0.53,2.01,1.21,2.22,1.67,,
April,2.95,1.51,1.66,0.24,0.68,1.27,0.39,1.22,1.47,0.39,,
May,2.04,2.03,1.84,2.68,3.68,0.82,1.52,2.02,0.52,1.11,,
June,1.45,0.88,2.44,3.62,2.61,2.07,1.65,4.42,1.41,2.41,,
July,0.83,0.61,2.04,2.22,0.14,6.26,2.51,1.98,2.13,3.65,,
August,3.67,3.71,2.31,4.57,0.93,4.42,2.67,2.74,0.69,2.52,,
September,2.15,2.02,0.77,1.81,1.28,2.23,3.83,2.72,0.04,3.91,,
October,1.03,2.41,2.32,1.99,1.93,1.56,1.52,2.40,1.72,4.41,,
November,3.68,3.07,1.25,3.66,1.17,1.35,1.47,1.57,1.16,3.80,,
December,1.52,1.79,0.71,2.03,1.65,2.02,2.27,2.33,3.49,2.79,,
Total,27.92,23.27,18.35,28.37,19.95,27.37,23.34,27.65,18.11,30.40,,
Calc annual,27.92,23.27,18.35,28.37,19.95,27.37,23.34,27.65,18.11,30.40,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
