ALNE - GODFREY,,,,,,,,,,,,
Grid ref,SE500657,Long,-1.237,Lat,54.085,Elevation,80,ft,,,,
Station no,3450/7,,,,,,,,,,,
,,,,,,,,,,,,
,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915
January,1.98,,2.67,0.56,0.96,0.68,2.67,1.15,3.41,2.13,1.34,2.98
February,1.98,,1.68,1.35,1.41,0.64,2.64,0.60,1.36,0.86,1.69,2.72
March,1.67,,1.25,1.11,2.79,2.77,0.44,0.98,2.93,1.73,1.64,1.10
April,1.46,,0.60,1.36,1.96,2.09,2.22,1.03,0.05,2.73,0.66,1.16
May,2.67,,1.98,3.74,2.08,1.18,2.91,0.74,2.00,1.68,1.37,1.37
June,0.82,,1.55,4.05,0.50,2.50,1.96,3.27,5.40,1.12,1.79,0.78
July,2.21,,1.29,1.63,2.70,2.35,2.75,0.95,2.75,0.53,4.58,5.68
August,3.72,,2.68,1.68,1.67,2.84,3.59,3.83,4.08,0.63,2.02,2.39
September,0.98,,0.41,0.73,2.28,1.69,0.16,2.22,1.51,1.26,1.34,1.22
October,0.55,,4.74,4.72,0.99,2.07,2.39,2.52,2.45,2.23,2.09,1.12
November,1.57,,2.80,2.62,1.38,0.49,2.45,2.44,2.58,1.71,2.77,1.48
December,1.58,,1.83,2.49,1.33,3.58,2.12,4.07,1.17,1.39,4.81,5.21
Total,21.19,,23.48,26.04,20.05,22.88,26.30,23.80,29.69,18.00,26.10,27.21
,,,,,,,,,,,,
TYRain_1900-1909_22_pt1/082,,,,,,,,,,,,
TYRain_1910-1919_21_pt1/005,,,,,,,,,,,,
,,,,,,,,,,,,
# Grid reference based on directions to Alne church and station.,,,,,,,,,,,,
"# In 1912,the gauge moved 200 yards south-west.",,,,,,,,,,,,
