IGHTHAM-BELMONT-LODGE,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ592563,Long,0.28141211,Lat,51.283596,Elevation,380,ft,,,,,,,,,,,,
Station no,RR8332,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,2.55,4.55,1.42,5.44,1.45,1.92,1.1,2.92,1.72,,,,,,,,
February,,,,1.7,3.62,0.97,2.61,1.96,1.99,0.85,4.45,2.19,,,,,,,,
March,,,,2.74,1.47,3.68,1.82,1.14,2.8,4.3,1.65,2.88,,,,,,,,
April,,,,2.22,1.27,2.59,1.34,3.04,3.14,2.15,2.1,2.3,,,,,,,,
May,,,,2.36,2.19,1.23,1.48,2.36,1.95,1.65,3.46,1.42,,,,,,,,
June,,,,6.02,1.42,4.63,2.8,2.52,1.42,3.13,2.68,2.29,,,,,,,,
July,,,,5.77,1.37,1.24,0.53,1.08,3.68,3.74,3.18,,,,,,,,,
August,,,3.21,4.55,1.36,2.94,0.84,2.4,4.35,2.59,3.01,,,,,,,,,
September,,,1.12,2.35,2.28,2.58,1.68,0.62,1.44,3.64,0.86,,,,,,,,,
October,,,3.07,6.03,2.32,1.66,5.09,5.22,2.35,6.81,2.57,,,,,,,,,
November,,,1.93,2.67,1.74,3.99,6.07,2.41,1.28,1.29,4.36,,,,,,,,,
December,,,2.02,2.28,3.18,0.94,2.44,3.06,3.37,4.85,4.55,,,,,,,,,
Total,,,,41.24,26.77,27.87,32.14,27.26,29.69,36.1,35.79,,,,,,,,,
