"PETWORTH PARK",,,,,,,,,,,,
Grid ref,SU975218,Long,-0.612273,Lat,50.987356,,,,,,,
Station no,456,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.73,1.48,1.22,3.39,6.68,1.43,8.01,1.59,1.94,1.07,,
February,7.63,2.36,1.80,2.07,4.58,0.78,3.71,1.68,1.49,0.29,,
March,0.83,2.70,2.48,4.00,1.16,5.44,1.37,0.88,4.15,4.47,,
April,1.06,2.97,1.49,2.09,1.49,1.62,0.92,4.28,2.64,1.40,,
May,1.94,0.95,2.39,2.51,3.84,0.56,1.80,2.99,2.18,1.91,,
June,2.74,2.86,2.58,3.33,0.88,4.00,1.73,2.31,1.45,3.22,,
July,1.59,1.35,1.61,2.89,0.74,0.21,0.65,1.08,2.46,2.27,,
August,3.19,1.68,3.84,4.89,1.99,2.81,1.65,1.79,4.98,2.10,,
September,1.39,2.36,0.82,4.33,1.86,2.04,1.32,0.50,2.08,3.38,,
October,2.71,3.47,3.30,9.92,2.41,1.81,5.41,8.01,2.17,8.03,,
November,3.24,0.60,4.26,2.22,1.04,5.82,5.87,3.23,1.09,0.98,,
December,4.87,6.18,2.11,3.17,3.96,0.82,2.01,4.06,4.35,5.40,,
Total,35.92,28.96,27.90,44.81,30.63,27.34,34.45,32.40,30.98,34.52,,
Calc annual,35.92,28.96,27.90,44.81,30.63,27.34,34.45,32.40,30.98,34.52,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
