PETWORTH PARK GARDENS,,,,,,,,,,,,
Grid ref,SU975217,Long,-0.612300,Lat,50.986457,,,,,,,
Station no,456,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.56,3.09,1.20,2.13,4.09,5.31,3.64,4.76,4.22,3.99,,
February,7.47,0.90,1.69,2.61,2.01,0.24,5.65,2.83,0.01,3.95,,
March,5.10,3.08,0.46,3.78,1.69,0.56,1.32,2.86,3.08,2.08,,
April,2.80,3.06,2.43,0.46,0.32,1.56,0.37,0.64,3.32,0.87,,
May,3.00,2.65,2.49,3.06,4.52,0.25,1.02,3.55,0.86,1.30,,
June,2.90,1.50,2.13,4.12,2.48,2.65,1.51,3.81,0.91,2.57,,
July,1.90,0.69,3.68,3.37,0.60,4.04,4.22,2.05,0.88,4.32,,
August,6.30,2.18,2.34,3.29,0.84,4.32,3.79,3.37,2.00,5.71,,
September,3.36,3.16,4.35,2.78,1.94,4.69,3.66,5.95,0.05,4.35,,
October,1.70,5.00,3.72,2.62,4.16,1.29,2.05,3.06,2.82,9.34,,
November,9.10,4.45,2.09,8.50,2.63,0.69,3.61,2.21,4.89,7.05,,
December,4.77,3.18,1.19,3.98,4.67,6.56,3.18,4.66,9.52,4.79,,
Total,52.96,32.94,27.77,40.70,29.95,32.16,34.02,39.75,32.56,50.32,,
Calc annual,52.96,32.94,27.77,40.70,29.95,32.16,34.02,39.75,32.56,50.32,,
Difference,0.00,-0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,,
