WALSALL-GORWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SP023972,Long,-1.9674955,Lat,52.572617,Elevation,440,ft.,,,,,,,,,,,,,,,,,,,,,,,
Station no,2331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,,3.98,1.42,5.35,1.48,2.09,1.83,2.99,0.99,3.26,3.15,3.1,5.62,2.92,3.92,3,4.75,2.64,,,,,,
February,,,,,,,,,2.35,0.38,0.68,2.22,0.19,3.58,0.34,2.71,2.61,3.99,0.68,1.13,2.25,2.04,1.33,1.31,2.03,,,,,,
March,,,,,,,,,2.03,0.13,2.53,0.09,1.3,2.82,2.12,0.79,1.68,2.53,0.55,1.4,1.68,2.81,1.67,0.88,0.39,,,,,,
April,,,,,,,,,1.03,0.56,2.41,3.7,3.64,0.64,2.5,3.3,2.22,2.33,0.13,1.98,3.27,1.71,1.75,0.97,1.99,,,,,,
May,,,,,,,,1.66,0.25,1.85,2.12,3.53,5.68,1.52,0.96,1.08,0.86,2.37,1.7,1.06,3.21,3.1,3.5,2.91,0.64,,,,,,
June,,,,,,,,4.15,3.38,1.46,0.76,4.54,0.57,2.38,0.86,2.59,3.28,0.86,1.62,1.23,0.89,0.83,0.43,2.01,1.74,,,,,,
July,,,,,,,,2.61,1.32,1.68,4.75,3.06,2.92,2.48,1.53,0.37,6.35,2.59,3.25,4.99,2.01,3.49,1.99,0.98,2.19,,,,,,
August,,,,,,,,3.65,2.36,1.56,3.02,5.23,2.38,0.64,2.26,1.95,0.81,0.77,2.74,2.28,0.27,3.69,2.54,1.63,1.78,,,,,,
September,,,,,,,,4.39,0.93,0.5,3.46,2.39,2.68,0.72,1.95,4.67,2.67,2.71,2.19,1.08,0.82,0.47,1.2,2.45,2.83,,,,,,
October,,,,,,,,1.76,4.72,3.83,2.6,1.02,3.95,4.17,1.81,3.48,1.5,2.23,2.3,3.76,3.71,2.41,2.48,1.48,3.02,,,,,,
November,,,,,,,,3.91,3.96,6.34,3.5,3.26,2.37,0.85,2.3,5.43,2.87,1.42,3.24,5.01,5.48,3.22,1.23,1.47,3.95,,,,,,
December,,,,,,,,2.02,1.82,4.79,3.17,1.01,0.75,0.46,4.64,2.94,2.1,2.62,3.77,1.45,2.18,1.54,2.69,1.13,1.37,,,,,,
Total,,,,,,,,,28.13,24.5,34.35,31.53,28.52,22.09,24.26,30.3,30.21,27.57,25.27,30.99,28.69,29.23,23.81,21.97,24.57,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is Gorway House. Stated altitude appears to be 20 ft too high or the gauge is 250m NW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
