"ST ANDREWS MWR",,,,,,,,,,,,
Grid ref,NO502171,Long,-2.807233,Lat,56.343621,,,,,,,
Station no,5497,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.59,1.21,0.66,1.42,1.30,1.95,2.90,2.79,0.80,3.72,,
February,2.97,0.73,0.67,2.56,1.99,1.19,3.32,2.88,0.21,2.44,,
March,2.21,2.16,0.36,2.25,1.76,1.26,1.55,3.88,1.39,1.44,,
April,2.22,1.03,2.17,1.39,0.90,0.86,0.56,1.87,2.52,1.99,,
May,2.03,1.63,1.84,3.33,1.86,0.63,1.48,1.83,0.84,1.61,,
June,1.63,2.47,0.78,2.29,0.83,2.83,0.61,2.35,2.18,1.35,,
July,2.84,1.72,2.35,1.91,1.27,3.65,5.19,5.26,2.91,2.83,,
August,3.60,3.50,1.82,2.68,0.34,5.00,2.33,2.85,0.66,4.33,,
September,1.56,1.20,2.70,2.48,0.84,3.62,1.50,2.20,0.52,2.13,,
October,0.13,2.72,1.73,6.21,1.74,0.99,1.72,1.51,1.39,3.68,,
November,6.32,2.21,2.92,4.48,1.27,0.69,1.49,0.70,4.17,3.60,,
December,2.38,1.92,3.04,2.56,4.06,3.19,3.44,4.01,5.63,2.09,,
Total,31.48,22.50,21.04,33.56,18.16,25.86,26.09,32.13,23.22,31.21,,
Calc annual,31.48,22.50,21.04,33.56,18.16,25.86,26.09,32.13,23.22,31.21,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
