CHURCHSTANTON-WIDCOMBE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST216158,Long,-3.11633,Lat,50.9363,Elevation,900,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,2107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,,,,7.78,3.48,5.46,3.06,3.72,0.81,5.97,9.35,4.89,6.79,2.53,5.54,,,,,,,,,
February,,,,,,,,,,,1.58,2.18,0.12,5.99,0.9,4.69,3.97,7.64,1.92,2.56,4.14,4.45,,,,,,,,,
March,,,,,,,,,,,3.16,1.32,3.38,4.72,3.14,1.82,4.68,6.8,0.14,1.55,3.42,5.28,,,,,,,,,
April,,,,,,,,,,,4.7,3.07,3.23,1.55,3.83,5.86,2.49,3.44,0.2,3.25,2.79,3.83,,,,,,,,,
May,,,,,,,,,,,1.56,3.36,4.41,2.56,2.08,1.86,1.25,2.95,3.23,0.89,2.29,2.49,,,,,,,,,
June,,,,,,,,,,,0.59,3.34,2.63,1.67,2.13,4.08,2.27,1.67,1.67,3.02,0.94,1.58,,,,,,,,,
July,,,,,,,,,,,2.3,4.72,2.68,2.86,0.84,0.28,6.56,4.13,4.82,6.69,3.29,1.8,,,,,,,,,
August,,,,,,,,,,,4.26,5.45,1.42,1,3.64,2.32,0.39,1.01,3.19,1.98,0.13,,,,,,,,,,
September,,,,,,,,,,,6.97,2.08,6.25,1.74,3.1,4.43,3.16,3.24,2.38,1.05,1.43,,,,,,,,,,
October,,,,,,,,,,,4.1,0.86,7.01,3.73,3.28,5.44,1.96,4.93,3.95,4.8,6.06,,,,,,,,,,
November,,,,,,,,,,,6.38,6.83,3.3,1.13,2.13,7.78,4.54,2.24,6.48,8.68,10.06,,,,,,,,,,
December,,,,,,,,,,,4.54,2.25,3.38,1.79,13.11,6.32,4.24,4.18,4.27,2.75,3.86,,,,,,,,,,
Total,,,,,,,,,,,47.92,38.94,43.27,31.8,41.9,45.69,41.48,51.58,37.14,44.01,40.94,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Widcombe House,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1935 Sept Gauge moved 40yds N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1937 July Gauge moved 40yds SE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1941 July Gauge moved to 958/4 SAWBRIDGEWORTH SPRING HALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
