BEWCASTLE (ASHYCROFT),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NY567769,Long,-2.679846,Lat,55.084641,Elevation,750,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,3622/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,5.22,3.5,5.95,7.54,3.63,3.42,4.58,5.8,5.84,4.74,4.12,3.12,7.16,4.91,2.66,3.68,3.28,2.76,3.75,3.29,2.42,5.68,3.65,2.5,3.83
February,,,,,,2.79,5.36,2.23,6.72,1.66,5.03,1.78,3.85,2.3,4.62,2.2,1.31,3.08,3.33,3.79,2.53,1.25,2.16,1.53,1.26,1.85,3.45,4.01,2.24,3.37
March,,,,,,2.64,1.89,3.03,4.25,7.06,3.81,3.06,1.19,0.53,2.99,3.76,4.64,2.65,1.32,2.68,4.06,4.33,1.05,2.81,1.81,1.4,3.1,0.69,1.29,0.92
April,,,,,,1.14,2.82,0.89,1.95,2.87,1.4,2.14,3.4,2.45,2.66,1.63,5.68,3.07,4.05,3.63,3.15,2.95,4.98,1.16,2.04,1.29,1.33,1.52,4.85,3.05
May,,,,,,1.27,3.33,4.15,1.25,5.14,1.88,2.91,4.36,2.43,5.75,1.84,3.33,2.28,1.93,1.98,2.35,1.68,2.24,3.37,2.74,3.29,1.85,4.53,0.5,2.26
June,,,,,,3.38,2.72,6.46,4.39,1.57,0.98,1.08,4.1,6,3,4.05,3.79,3.33,0.93,4.79,1.36,4.56,2.56,5.3,3.67,2.98,2.77,2.59,4.37,3.12
July,,,,,,7.4,3.68,8.45,6.94,7.33,1.79,3.52,3.76,4.25,3.6,6.15,5.66,2.52,2.56,5.21,4.32,2.78,7.31,5.43,1.87,4.12,5.6,4.33,3.65,6.3
August,,,,,,3.1,2.58,3.56,3.58,3.61,6.11,5.94,6.26,4.31,2,7.7,0.14,6.33,3.13,8.35,3.8,6.46,4.47,5.75,2.09,8.05,3.66,5.31,0.41,4
September,,,,,,5.49,3.92,4.22,2.06,5.27,1.57,6.4,4.58,6.11,6.25,5.41,3.24,7.8,2.36,7.2,4.4,3.9,4.24,6.91,3.43,3.07,3.8,4.48,2.1,3.15
October,,,,,,5.24,2.19,9.06,4.31,3.55,6.12,5.94,5.83,3.8,5.25,0.97,1.02,4.65,5.71,5.65,0.94,3.54,2.3,8.5,2.16,2.96,6.1,4.07,4.95,3.23
November,,,,,,3.52,1.27,9.16,7.47,4.51,3.08,1.02,2.74,8.08,0.48,5.92,5.05,4.51,4.48,4.27,6.88,4.65,6.56,5.39,1.86,2.97,1.76,1.56,5.25,5.25
December,,,,,,5.64,2.75,3.6,1.49,3.96,2.28,4.25,2.21,3.47,2.44,3.43,3.14,3.8,7.4,2.62,6.77,3.45,2.91,6.37,5.7,4.36,3.29,3.34,5.48,5.66
Total,,,,,,46.83,36.01,60.76,51.95,50.16,37.47,42.62,48.08,49.57,43.78,47.18,40.12,51.18,42.11,52.83,44.24,42.83,43.54,56.27,31.92,38.76,42.39,40.08,37.59,44.14
