DUNDEE MANSE,,,,,,,,,,,,,,,,,,,,
Grid ref,NO 395 310,Long,-2.983891,Lat,56.467296,Elevation,450,ft,,,,,,,,,,,,
Station no,RR1719,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849
January,,,,,,,,2,0.45,1.7,6.2,1.2,,,,,,,,
February,,,,,,,,2.7,0.45,1.5,5,,,,,,,,,
March,,,,,,,,1,0.25,3.9,2.1,,,,,,,,,
April,,,,,,,,3.15,1.75,1,0.55,,,,,,,,,
May,,,,,,,,1.2,3.1,1.5,0.5,,,,,,,,,
June,,,,,,,,3.1,5.2,3.9,3.7,,,,,,,,,
July,,,,,,,,4.2,2.04,4.3,3,,,,,,,,,
August,,,,,,,,2.2,3.35,3.1,4,,,,,,,,,
September,,,,,,,,1.3,2.6,4.8,2.7,,,,,,,,,
October,,,,,,,0.7,1.95,2.3,4.35,2.1,,,,,,,,,
November,,,,,,,5.4,1.3,3.25,5.15,4.25,,,,,,,,,
December,,,,,,,2.4,2.9,1.8,6.2,2.7,,,,,,,,,
Total,,,,,,,,27,26.54,41.4,36.8,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Location Low Confidence,,,,,,,,,,,,,,,,,,,,
