"HAYWARDS HEATH, ST WILFRID'S PARSONAGE",,,,,,,,,,,,
Grid ref,TQ332283,Long,-0.101523,Lat,51.038627,,,,,,,
Station no,RR4894,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,5.39,1.30,1.86,1.24,,
February,,,,,,,2.90,1.58,1.23,0.39,,
March,,,,,,,1.58,1.14,2.53,3.96,,
April,,,,,,,0.95,3.55,2.41,1.47,,
May,,,,,,,2.29,2.39,2.08,1.57,,
June,,,,,,,2.25,2.00,1.49,3.05,,
July,,,,,,,1.20,0.76,2.78,2.73,,
August,,,,,,,0.96,2.06,4.20,2.60,,
September,,,,,,,0.99,0.69,1.24,3.00,,
October,,,,,,,5.00,5.06,1.61,7.37,,
November,,,,,,,6.30,2.28,1.34,1.30,,
December,,,,,,,2.27,3.45,3.92,4.73,,
Total,,,,,,,32.08,26.26,26.69,33.41,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,32.08,26.26,26.69,33.41,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,-0.00,,
