HAYWARDS-HEATH-ST-WILFRIDS-PARSONAGE,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ3314323866,Long,-0.10396175,Lat,50.998791,Elevation,275,ft,,,,,,,,,,,,
Station no,RR4894,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,5.39,1.3,1.86,1.24,3.38,1.32,2.74,4.85,1.06,3.97,1.64,1.54,3.98,
February,,,,,,,2.9,1.58,1.23,0.39,4.78,1.8,2.88,1.24,4.59,5.33,4.67,1.19,1.16,
March,,,,,,,1.58,1.14,2.53,3.96,1.41,2.48,5.16,3.27,5.41,0.95,4.09,2.09,1.06,
April,,,,,,,0.95,3.55,2.41,1.47,2.05,2.36,0.08,3.34,2,1.87,1.56,2.07,2.95,
May,,,,,,,2.29,2.39,2.08,1.57,2.2,2.09,1.6,2.38,1.11,4.23,2.54,1.49,1.19,
June,,,,,,,2.25,2,1.49,3.05,1.79,2.3,3.32,0.56,0.82,0.9,3.03,2,2.11,
July,,,,,,,1.2,0.76,2.78,2.73,3.3,0.52,1.72,2.76,2,4.97,0.73,2.73,5.17,
August,,,,,,,0.96,2.06,4.2,2.6,3.27,0.68,7.05,2.22,1.09,1.76,2.17,6.08,1.57,
September,,,,,,,0.99,0.69,1.24,3,0.26,1.68,3.8,3.04,1.42,2.19,2.28,1.95,,
October,,,,,,,5,5.06,1.61,7.37,3.04,5.02,4.08,5.36,2.38,3.16,5.55,4.92,,
November,,,,,,,6.3,2.28,1.34,1.3,4.94,7.93,2.91,4.34,4.4,3.24,5.79,1.92,,
December,,,,,,,2.27,3.45,3.92,4.73,2.91,7.7,3.82,1.93,8.73,8.17,4.06,3.12,,
Total,,,,,,,32.08,26.26,26.69,33.41,33.33,35.88,39.16,35.29,35.01,40.74,38.11,31.1,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1918 Sep Gauge moved,,,,,,,,,,,,,,,,,,,,
