EPSOM-RUXLEY-LANE-SEWAGE-WORKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ202648,Long,-0.27461,Lat,51.36956,Elevation,76,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,144/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,2.29,3.92,2.16,2.28,2.17,4.65,1.25,1.36,1.31,1.39,2.83,0.9,0.82,3.08,1.82,0.94,1.13,2.21,3.42,1.48,,,
February,,,,,,,,0.35,1.03,1.3,1.76,0.46,1.51,0.67,1.09,2.31,1.26,1.08,0.81,3.74,6.33,0.8,1.19,2.21,1.33,0.26,2.8,,,
March,,,,,,,,0.51,0.99,3.3,3.47,1.66,0.29,0.04,1.07,1.15,4.55,0.72,0.9,0.74,3.12,2.38,0.37,1.81,0.99,0.66,0.78,,,
April,,,,,,,,0.09,2.46,1.34,1.45,0.91,0.82,1.44,1.12,2.34,1.71,1.35,2,2.77,2.93,1.19,2.16,0.29,0.24,1.19,0.25,,,
May,,,,,,,,1.67,1.52,1.01,1.65,3.09,1.95,0.8,2.79,3.32,1.32,2.01,2.21,1.65,1.87,2.76,1.25,3.02,3.44,0.23,1.6,,,
June,,,,,,,,0.52,1.26,0.4,2.18,2.88,0.92,1.92,1.24,2.43,2.62,1.93,0.85,1.41,0.95,2.2,1.34,3.68,1.98,1.63,1.1,,,
July,,,,,,,,1.19,2.61,2.1,2.85,1.82,1.43,1.61,3.43,1.18,1.56,0.93,1.21,3,1.62,0.67,3.35,2.96,0.9,5.55,2.86,,,
August,,,,,,,1.85,2.18,2.48,0.04,4.34,1.47,1.29,2.92,1.43,4.71,0.35,3.51,1.37,1.9,2.59,2.58,1.37,2.3,1.27,3.01,3.31,,,
September,,,,,,,1.69,1.93,1.33,1.2,0.29,1.13,1.52,2.06,1.96,3.02,1.32,1.04,0.49,2.45,3.23,3.56,2.98,2.24,1.32,2,2.58,,,
October,,,,,,,2.51,2.31,5.84,2.1,0.71,3.15,2.54,2.89,2.4,0.89,0.14,2.37,5.64,0.41,0.78,2.45,3.18,2.16,2.8,1.27,1.69,,,
November,,,,,,,1.31,4.01,3.9,6.58,2.54,2.17,1.11,3.31,0.25,3.2,0.91,1.57,2.16,5.35,6,2.86,1.12,4.11,0.72,0.52,,,,
December,,,,,,,4.17,3.2,0.99,1.02,1.49,2.4,1.49,1.58,2.71,2.46,2.52,3.41,1.06,1.56,2.03,2.2,0.58,1.86,2.02,2.68,,,,
Total,,,,,,,,20.25,28.33,22.55,25.01,23.31,19.52,20.49,20.85,28.32,19.65,22.75,19.6,25.8,34.53,25.47,19.83,27.77,19.22,22.42,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938 Dec 6 Inspection Site quite good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1957 Oct 26 Inspection Leak at joint between delivery tube and funnel To be repaired Rest of gauge sound but battered Measure correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1957 Oct 29 Sew Wks to be abandoned Stn terminated Auto gauge and new check gauge to be installed at Ewell Court,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
