EWHURST-DOWNHURST-LODGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ092408,Long,-0.439912,Lat,51.156045,Elevation,350,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,5.36,1.45,6.06,1.05,1.75,1.18,2.81,1.64,3.05,4.36,0.93,4.56,1.68,1.46,3.67,4.95,3.93,,,,,,,,2.93,1.06,4.43,1.99,3.15,2.21,2.38,1.07,5.35,6.42,3.43,6.02,2.85,2.52,3.19,6.18,2.18,1.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,3.99,0.73,2.8,1.62,1.16,0.41,4.47,1.84,2.53,1.29,5.49,5.84,4.3,1.43,1.93,2.97,0.6,,,,,,,,1.02,1.25,0.72,2.05,0.44,4,0.19,3.99,2.21,4.88,0.52,1.68,3.09,3.55,0.99,1.9,0.74,2.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,1.22,4.19,1.71,1.06,3.16,4.52,1.56,1.9,4.97,3.06,5.01,0.84,3.69,1.8,1.19,4.26,2,,,,,,,,2.37,0.04,1.74,0.57,1.67,3.4,2.91,0.29,1.61,3.47,0.41,1.52,3.34,2.65,2.55,0.62,0.21,1.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,1.5,1.31,0.76,4.17,2.58,2.21,1.84,1.95,0.08,3.36,1.25,1.52,1.09,2.52,3.84,3.1,3.77,,,,,,,,1.99,0.44,2.03,4.2,2.71,0.87,2.5,3.37,2.03,3,0.05,2.68,1.77,1.45,1.87,1.35,1.59,1.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,3.44,0.68,1.61,2.36,2.63,1.97,2.94,1.28,1.41,2.62,1.3,2.86,1.97,1.11,1.55,0.34,1.15,,,,,,,,1.76,2.53,2.94,2.61,5,2.25,0.66,1.28,0.5,2.68,1.4,1.89,1.38,1.97,3.56,3.32,0.72,2.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,0.82,4.96,2.21,1.82,2.37,3.17,2.01,2.82,2.92,0.53,0.86,1.35,2.49,1.59,1.34,0.9,2.4,,,,,,,,2.99,1.64,0.59,1.71,0.81,1.72,1.21,3.97,4.04,2.04,0.98,1.47,0.33,2.16,0.14,1.94,1.89,3.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,1.1,0.75,0.51,1.56,2.71,2.83,3.42,0.89,1.87,2.88,1.71,4.7,1.39,3.94,4.81,2,5.99,,,,,,,,1.63,1.75,3.7,4.08,5.35,1.64,2.27,1.03,3.56,1.14,1.87,3.83,3.05,2.76,2.44,2.22,2.12,4.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,1.9,3.24,0.64,2.85,4.97,2.72,3.22,0.74,6.39,1.79,1.78,1.23,4.44,6.15,1.24,2.83,1.73,,,,,,,,3.23,2.47,3.76,4.81,0.64,1.01,2.05,3.69,0.69,0.97,1.42,2.99,0.08,4.6,3.05,2.09,2.89,2.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,2.13,2.2,1.46,0.69,1.14,2.37,0.75,1.45,3.95,2.2,1.32,2.53,2.08,2.02,6.26,1.88,2.6,,,,,,,,1.1,0.15,3.32,2.27,2.44,2.33,2.14,4.51,1.97,1.87,1.8,1.16,1.95,0.34,2.88,2.47,2.47,2.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,2.52,1.74,4.44,6.53,2.48,6.52,3.46,4.76,3.37,5.45,1.74,3.38,5.95,4.01,1.4,0.63,2.35,,,,,,,,6.52,3.98,1.58,0.65,6.16,2.57,2.54,3.94,1.82,3.13,3.39,5.47,3.65,1.31,3.84,4.5,4.29,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
