PUBLOW-VICARAGE-(PENSFORD),,,,,,,,
Grid ref,ST617643,Long,-2.55114,Lat,51.37686,Elevation,244,ft
Station no,RR8519,,,,,,,
,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907
January,,,,4.33,3.49,0.82,5.07,1.75
February,,,,2.21,4.13,1.09,2.06,1.64
March,,,,4.22,2.05,4.27,2.55,1.15
April,,,,2.53,2.24,2.33,1.06,2.95
May,,,,2.86,2.9,0.09,2.87,3.13
June,,,3.57,4.77,1.41,3.69,2.96,2.94
July,,,1.99,3.56,3.34,0.75,1.28,3.82
August,,,3.32,4.52,2.41,4.16,2.25,2.62
September,,,1.96,2.84,1.34,1.54,0.87,0.86
October,,,2.36,8.44,1.29,1.88,5.07,5.59
November,,,2.73,2.08,2.21,2.65,3.01,2.68
December,,,2.75,3.27,2.22,1.3,1.87,5.57
Total,,,,45.63,29.03,24.57,30.92,34.7
,,,,,,,,
Distance and elevation match with Pen-y-Banc Unknown if it used to be the Vicarage,,,,,,,,
Rev Tripp was away in 1901 but census has a Tripp at this address,,,,,,,,
1901 a new Vicarage was built in Publow Lane with Pensfold and Publow Vicarage in same place,,,,,,,,
1901 census had a retired mechanical engineer at the Vicarage,,,,,,,,
1908 Gauge moved 500yds E to the Vicarage down in the valley,,,,,,,,
