BROSELEY-BOYS-SCHOOL,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ674016,Long,-2.4828741,Lat,52.611191,Elevation,485,ft.,,,,,,,,,,,,
Station no,2285/4,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,2.46,1.06,3.75,3.34,2.79,6.15,,,,,,,,,4.76,,0.67
February,,,,0.32,3.11,2.68,4.75,0.52,0.77,,,,,,,,,1.34,0.8,4.34
March,,,,1.89,0.68,2.14,2.73,0.43,1.72,,,,,,,,,1.59,1.31,0.8
April,,,,2.47,3.31,2.47,2.78,0.19,1.81,,,,,,,,,1.91,2.05,4.42
May,,,,1.39,0.97,1.46,2.69,1.92,0.98,,,,,,,,,1.99,1.42,1.34
June,,,,1.43,2.3,3.65,1.98,1.66,1.06,,,,,,,,,3.11,0.63,0.51
July,,,,0.71,0.67,5.69,3.7,2.96,5.01,,,,,,,,,1.1,2.19,2.95
August,,,,2.23,1.52,0.94,0.67,2.9,2.12,,,,,,,,,5.48,,4.23
September,,,,2.1,4.09,4.1,2.91,0.89,0.67,,,,,,,,,2.5,1.15,4.37
October,,,,2.49,3.86,2.02,3.01,2.91,3.5,,,,,,,,,2.4,2.36,0.98
November,,,,2.26,,3.31,1.61,3.61,3.61,,,,,,,,1.96,1.64,3.08,4.13
December,,,,4.72,3.66,3.11,2.77,2.82,1.7,,,,,,,,2.34,4.77,,1.82
Total,,,,24.47,,35.32,32.94,23.6,29.1,,,,,,,,,32.59,,30.56
,,,,,,,,,,,,,,,,,,,,
NGR is a school in Broseley at the correct altitude and relationship to church.,,,,,,,,,,,,,,,,,,,,
