DUDLEY: Himley Road,,,,,,,,,,
Grid ref,SO931904,Long,-2.1030986,Lat,52.511445,Elevation,605,ft,,
Station no,RR7878,,,,,,,,,
,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,,,3.85,1.9,1.55
February,,,,,,,,1.67,1.02,2.5
March,,,,,,,1.96,2.33,0.76,0.7
April,,,,,,,3.68,1.88,2.14,2.66
May,,,,,,,1.47,3.03,5.66,3.04
June,,,,,,,2.45,1.41,3.39,4.43
July,,,,,,,2.02,4.23,0.5,3.71
August,,,,,,,2.44,4.34,7.52,6.4
September,,,,,,,3.58,2.27,3.14,3.17
October,,,,,,,1.66,1.77,3.24,1.14
November,,,,,,,4.04,2.43,3.21,1.06
December,,,,,,,3.24,1.49,1.68,0.87
Total,,,,,,,,30.7,34.16,31.23
