NUNNINGTON HALL GARDENS,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE670794,Long,-0.974,Lat,54.206,Elevation,110,ft,,,,,,,,,,,,,,,,
Station no,3458/5,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,3.31,2.89,4.29,2.03,3.02,3.44,4.08,2.23,5.40,2.37,2.66,4.63,0.75,1.30,2.16,2.33,,1.53,1.31,4.26,1.25,2.51,1.94,4.47
February,4.01,1.16,1.75,1.37,3.04,1.55,0.57,2.16,2.40,1.72,1.99,1.33,0.73,3.93,2.14,0.66,,2.38,1.86,2.25,2.56,3.76,0.45,1.98
March,2.77,0.17,2.13,1.39,2.73,1.42,0.37,0.54,0.70,1.21,4.28,1.20,1.44,1.20,3.12,2.01,,2.06,1.91,1.25,1.82,2.72,1.62,1.86
April,2.43,0.10,1.13,1.25,1.30,1.77,1.22,2.31,2.03,2.04,2.43,1.16,1.81,1.96,1.03,1.34,,0.19,1.35,1.07,0.30,0.86,3.19,1.61
May,2.77,3.01,1.17,1.54,1.49,2.46,2.92,0.82,2.25,1.10,2.22,1.74,2.00,1.63,3.19,1.27,,3.87,2.27,0.65,1.15,3.01,0.43,1.64
June,1.60,1.70,1.96,0.59,0.23,0.75,2.19,3.21,3.18,2.47,1.82,5.31,0.44,0.88,1.68,1.76,,1.91,2.10,3.59,2.17,3.30,1.89,0.53
July,1.58,2.35,2.97,5.95,1.85,3.00,0.68,3.01,1.61,2.13,2.10,1.53,1.83,2.39,2.09,1.64,,1.95,1.31,4.58,2.77,2.63,1.81,2.52
August,1.41,1.77,1.69,0.89,2.87,2.79,3.21,4.01,4.22,3.33,0.18,3.18,2.21,4.87,5.65,1.88,,3.62,0.69,7.24,4.56,2.23,0.40,2.29
September,1.46,2.34,0.69,1.81,0.52,2.35,3.73,3.84,1.70,4.47,1.89,1.34,0.61,3.33,1.54,3.27,,1.85,0.99,1.56,3.18,2.28,0.33,2.57
October,2.87,3.99,3.06,2.91,3.70,1.88,1.44,2.85,2.68,0.92,0.45,1.23,2.72,1.41,1.40,2.43,,4.20,2.10,1.43,2.64,1.76,1.57,6.45
November,1.95,3.09,2.69,3.25,3.31,0.59,2.75,3.70,0.72,4.76,1.95,0.92,3.32,3.50,5.30,2.82,,4.94,1.56,-999.00,1.89,0.88,3.72,4.10
December,3.81,4.29,2.09,2.39,0.49,2.52,1.64,1.95,1.94,2.92,1.48,2.45,2.50,3.10,2.98,1.29,,1.87,3.23,-999.00,2.42,2.96,3.76,2.86
Total,29.97,26.86,25.62,25.37,24.55,24.52,24.80,30.63,28.83,29.44,23.45,26.02,20.36,29.50,32.28,22.70,,30.37,20.68,31.79,26.71,28.90,21.11,32.88
,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1931-1940_20_pt1/013,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1941-1950_22_pt1/197,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1951-1960_22_pt1/013,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
# The readings for November and December 1956 are apportioned.,,,,,,,,,,,,,,,,,,,,,,,,
