KINGSKERSWELL-FLUDER,,,,,,,,,,,,,,,,,
Grid ref,SX890671,Long,-3.5658,Lat,50.4939,Elevation,353,ft,,,,,,,,,
Station no,RR2864,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896
January,,,,,,,,,,,5.55,3.04,,,,4.88,0.37
February,,,,,,,,,,,1.61,0,,,,0,0.37
March,,,,,,,,,,,1.31,3.81,,,,2.37,2.55
April,,,,,,,,,,,3.4,1.8,,,,1.8,0.08
May,,,,,,,,,,,2.05,4.05,,,,0.64,0.03
June,,,,,,,,,,,2.34,4.84,,,,1.14,1.97
July,,,,,,,,,,,2.36,2.89,,,3.86,2.3,1.19
August,,,,,,,,,,1.93,2.84,5.33,,,3.88,2.33,1.05
September,,,,,,,,,,1.41,0.78,1.17,,,4.38,0.47,4.34
October,,,,,,,,,,4.9,0.69,10.49,,,7.94,3.82,3.44
November,,,,,,,,,,2.2,2.6,5.65,,,7.25,6.11,0.65
December,,,,,,,,,,2.24,5.54,5.68,,,1.97,5.24,6.57
Total,,,,,,,,,,,31.07,48.75,,,,31.1,22.61
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
1897 Jan 1st Gauge moved 400 yards WSW to South Hill,,,,,,,,,,,,,,,,,
