KINGSKERSWELL-FLUDER-(SOUTH-HILL),,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SX886673,Long,-3.571939,Lat,50.4952,Elevation,270,ft,,,,,,,,,,,,,,,
Station no,RR2864,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,2.77,0.96,5.09,5.51,2.96,1.04,3.81,5.07,1.5,5.97,1.1,0.93,1.41,3.24,0.91,4.97,7.91,0.9,2.91,,,,
February,3.05,2.29,5.65,6.19,1.32,1.98,2.15,6.39,0.75,3.82,1.22,1.25,0.36,5.16,1.51,4.35,1.51,5.03,6.92,,,,
March,5.07,2.35,0.61,1.91,4.48,2.02,4.12,2.37,5.36,0.7,0.52,2.99,6.01,0.85,2.8,5.48,4,5.49,1.03,,,,
April,3.94,1.29,2.82,1.2,4.33,2.09,1.64,0.99,2.82,1.02,4.97,2.47,2.05,2.12,1.19,0.12,4.36,1.6,1.06,,,,
May,1.69,3.3,2.07,1.86,1.48,1.37,2.4,2.18,0.69,1.58,3.39,1.52,0.86,2.11,0.6,1.23,3.49,1.74,3.52,,,,
June,3.53,1.4,1.36,3.09,1.21,3.19,1.74,1.17,3.03,2.17,2.07,0.34,4.08,1.55,2.6,4.77,0.49,1.29,2.31,,,,
July,1.56,0.18,0.63,0.63,2.68,2.45,4.24,4.94,0.59,0.8,1.56,1.28,2.07,2.34,0.47,2.27,0.36,3.74,3.64,,,,
August,3.24,2.73,2.37,1.88,1.2,2.15,3.44,2.9,3.43,1.27,0.75,4.86,1.86,4.2,0.59,7.13,0.68,2.86,1.58,,,,
September,3.2,0.78,2.09,1.12,4.57,2.58,3.63,2.35,1.78,0.71,0.87,2.81,1.07,0.24,1.87,1.46,2.39,2.77,1,,,,
October,1.17,7.54,1.92,2.11,1.97,3.28,7.7,2.13,2.04,5.57,8.3,2.69,6.45,4.73,4.5,4.82,4.31,2.81,5.85,,,,
November,1.46,3.79,3.92,3.3,0.58,5,1.51,1.72,5.04,3.38,4.01,0.76,0.96,4.22,4.36,1.78,3.87,4.88,2.69,,,,
December,6.75,3.77,4.39,5.79,6.73,2.62,4.9,3.21,0.93,1.35,4.91,4.2,5.96,7.7,11,5.1,2.36,9.61,9.56,,,,
Total,37.43,30.38,32.92,34.59,33.51,29.77,41.28,35.42,27.96,28.34,33.67,26.1,33.14,38.46,32.4,43.48,35.73,42.72,42.07,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
1897 Jan 1st Gauge moved 400 yards WSW from Fluder,,,,,,,,,,,,,,,,,,,,,,,
