HORSHAM RICHMOND ROAD,,,,,,,,,,,,
Grid ref,TQ175315,Long,-0.324307,Lat,51.070812,,,,,,,
Station no,RR6740,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,2.49,5.45,1.64,6.06,1.46,2.25,1.32,,
February,,,,1.60,4.06,0.81,3.09,1.59,1.43,0.42,,
March,,,,3.45,1.37,4.37,1.47,1.09,2.92,4.69,,
April,,,,2.46,1.87,1.76,0.73,4.39,2.59,1.64,,
May,,,,2.74,3.82,0.66,2.08,2.17,2.39,1.91,,
June,,,,3.36,0.97,5.27,1.98,1.92,3.37,2.48,,
July,,,,3.83,0.80,0.50,1.12,1.03,2.47,2.57,,
August,,,,4.16,2.07,3.58,1.12,2.08,4.54,2.72,,
September,,,,3.84,2.05,2.16,1.33,0.72,0.95,3.37,,
October,,,,8.35,2.24,1.60,5.04,5.34,2.12,6.55,,
November,,,,2.06,1.47,5.88,5.81,2.65,0.80,0.86,,
December,,,,2.49,3.68,0.89,2.63,3.62,4.04,4.80,,
Total,,,,40.83,29.85,29.12,32.46,28.06,29.87,33.33,,
Calc annual,0.00,0.00,0.00,40.83,29.85,29.12,32.46,28.06,29.87,33.33,,
Difference,NaN,NaN,NaN,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
