HORSHAM-RICHMOND-ROAD,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ176318,Long,-0.32278329,Lat,51.073488,Elevation,190,ft,,,,,,,,,,,,
Station no,RR6740,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,2.49,5.45,1.64,6.06,1.46,2.25,1.32,3.61,1.64,2.86,5.24,0.78,4.68,1.58,,,
February,,,,1.6,4.06,0.81,3.09,1.59,1.43,0.42,4.15,1.7,2.67,1.32,5.2,5.54,5.21,,,
March,,,,3.45,1.37,4.37,1.47,1.09,2.92,4.69,1.56,1.97,4.78,3.24,5.22,0.73,4.13,,,
April,,,,2.46,1.87,1.76,0.73,4.39,2.59,1.64,2.3,1.6,0.07,3.23,1.55,1.57,1.4,,,
May,,,,2.74,3.82,0.66,2.08,2.17,2.39,1.91,2.34,1.1,1.52,2.22,1.47,3.06,2.29,,,
June,,,,3.36,0.97,5.27,1.98,1.92,3.37,2.48,3.05,2.37,2.82,0.47,0.38,0.83,2.39,,,
July,,,,3.83,0.8,0.5,1.12,1.03,2.47,2.57,3.11,0.82,1.15,3.69,1.71,3.46,1.08,,,
August,,,,4.16,2.07,3.58,1.12,2.08,4.54,2.72,2.73,1.3,7.57,1.43,1.24,2.03,3,,,
September,,,,3.84,2.05,2.16,1.33,0.72,0.95,3.37,0.38,1.42,3.66,2.05,1.21,1.89,2.07,,,
October,,,,8.35,2.24,1.6,5.04,5.34,2.12,6.55,3.07,5.59,3.59,4.27,1.65,3.54,5.71,,,
November,,,,2.06,1.47,5.88,5.81,2.65,0.8,0.86,3.93,5.48,2.23,3.46,4.65,3.27,5.92,,,
December,,,,2.49,3.68,0.89,2.63,3.62,4.04,4.8,4.66,8.91,3.7,1.79,9.18,7.58,,,,
Total,,,,40.83,29.85,29.12,32.46,28.06,29.87,33.33,34.89,33.9,36.62,32.41,34.24,38.18,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1916 Jul IDR,,,,,,,,,,,,,,,,,,,,
