MALDON-HAZELEIGH-RECTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TL826040,Long,0.64125365,Lat,51.705023,Elevation,161,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR6687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,,,,0.69,0.83,1.08,0.94,2.49,2.63,0.81,3.11,0.81,1.25,2.65,2.64,1.85,1.41,,,,,,,,,
February,,,,,,,,,1.16,1.18,1.89,0.74,1.37,0.59,1.47,2.44,4.62,0.52,0.55,2.42,0.23,0.2,,,,,,,,,
March,,,,,,,,,1.58,2.43,0.85,1.63,2.06,1.75,3.62,1.03,4.2,1.71,0.85,2.32,0.68,0.64,,,,,,,,,
April,,,,,,,,,2.58,1.54,1.23,0.86,0.09,2.37,0.99,0.73,1.49,1.4,1.94,2.88,3.41,0.9,,,,,,,,,
May,,,,,,,,,1.05,0.75,2.51,0.97,0.96,1.61,1.45,2.38,1.85,1.65,1.01,0.62,1.64,1.13,,,,,,,,,
June,,,,,,,,,0.84,4.4,2.29,1.74,2.35,0.57,1.44,2.02,2.71,0.96,0.7,1.27,0.85,0.17,,,,,,,,,
July,,,,,,,,,2.69,2.97,1.46,0.41,2.06,1.72,1.46,4.03,0.96,2.91,6.12,1.5,2.85,0.17,,,,,,,,,
August,,,,,,,,,2.49,2,1.81,0.85,3.57,0.72,0.87,2.34,3.29,3.45,1.43,1.87,1.89,0.51,,,,,,,,,
September,,,,,,,,,1.54,1.92,0.67,1.25,2.7,0.79,0.73,2.02,0.97,0.89,3.26,0.85,5.76,1.67,,,,,,,,,
October,,,,,,,,,1.06,3.84,1.71,3.1,1.52,4.33,1.29,1.84,2.12,3.05,1.78,0.71,0.92,,,,,,,,,,
November,,,,,,,,,0.82,1.24,3.24,3.86,1.23,3.23,2.44,3.02,3.84,1.49,1.72,1.4,0.33,,,,,,,,,,
December,,,,,,,,,1.93,3.34,3.12,2.86,2.1,0.5,4.61,5.16,2.16,1.16,1.44,2.63,2.17,,,,,,,,,,
Total,,,,,,,,,18.43,26.44,21.86,19.21,22.5,20.81,21.18,30.12,29.02,20.44,23.45,21.11,22.58,,,,,,,,,,
