"ASH BOCKING VICARAGE",,,,,,,,,,,,
Grid ref,TM170548,Long,1.170354,Lat,52.148828,,,,,,,
Station no,RR1565,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.47,0.50,0.72,2.19,2.12,1.08,3.98,0.72,0.94,0.71,,
February,2.55,0.50,0.70,0.37,2.38,0.81,2.16,1.37,1.79,1.31,,
March,0.89,2.63,1.34,1.25,1.87,1.48,1.78,1.01,2.33,2.92,,
April,1.08,2.11,0.68,2.39,0.66,2.38,0.68,2.49,2.12,1.25,,
May,1.36,0.91,1.97,1.90,2.16,1.27,1.22,3.29,1.38,1.21,,
June,3.55,1.58,4.25,5.21,0.67,3.71,2.44,2.09,0.49,4.51,,
July,1.49,1.18,2.09,5.09,1.66,0.43,0.49,1.23,4.14,2.74,,
August,2.87,1.14,3.17,3.14,0.66,1.79,0.62,2.31,1.66,2.00,,
September,0.60,0.90,2.75,3.18,1.17,2.69,2.01,0.89,2.03,2.25,,
October,2.12,1.65,1.60,3.91,0.40,1.75,3.47,3.06,2.20,3.48,,
November,2.31,1.48,2.50,2.51,2.09,1.45,3.99,2.04,1.19,1.11,,
December,3.12,4.15,1.14,1.37,2.04,1.30,3.18,2.81,1.75,4.83,,
Total,25.41,18.73,22.91,32.51,17.88,20.14,26.02,23.31,22.02,28.32,,
Calc annual,25.41,18.73,22.91,32.51,17.88,20.14,26.02,23.31,22.02,28.32,,
Difference,0.00,-0.00,-0.00,0.00,-0.00,0.00,-0.00,0.00,-0.00,0.00,,
