BAMFORD-YORKSHIRE-BRIDGE-WEIR-OLD-GAUGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK198850,Long,-1.7039443,Lat,53.361508,Elevation,560,ft.,,,,,,,,,,,,,,,,,,,,,,,
Station no,2690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,,4.8,1.99,3.19,2.38,3.39,1.96,5.63,4.18,3,5.59,3.06,3.16,3.52,4.48,5.45,6.42,4.87,3.91,2.34,2.76,2.73,2.8,8.01,2.26,5.43
February,,,,,,,3.73,2.48,3.58,2.62,4.17,4.22,2,1.47,2.35,5.43,6.64,0.67,3.78,2.67,3.97,0.42,4.3,6.7,1.33,3.67,1.54,1.58,5.3,0.61,1.34
March,,,,,,,3.61,3.66,3.85,3.92,1.11,2.02,4.24,4.5,4.49,1.47,4.46,2.87,1.67,5.87,2.66,3.04,2.62,1.94,0.89,1.72,1.5,4.47,2.7,0.55,3.58
April,,,,,,,1.83,3.49,3.03,1.98,3.19,2.58,1.42,2.92,1.81,1.46,2.96,1.96,1.49,2.42,4.89,1.63,4.06,2.96,1.94,1.83,1.29,4.48,1.45,1.27,4.17
May,,,,,,,2.61,4.02,3.36,2.5,2.57,0.87,3.5,2.53,1.93,1.35,2.42,1.71,3.07,1.78,3.79,1.49,0.79,3.83,3.71,3.19,2.05,1.32,1.18,2.51,2.02
June,,,,,,,1.63,5.21,2.47,3.9,2.9,2.73,4.31,2.02,2.72,1.72,2.43,1.78,1.61,1.56,3.44,0.21,2.11,0.88,1.44,0.04,1.7,5.23,4.3,1.39,3.52
July,,,,,,,2.64,2.62,3.7,4.32,3.92,0.31,5.54,1.21,4.3,5.11,1.79,1.37,3.43,3.59,5.03,0.91,4.02,4.63,3.37,1.42,2.43,2.47,1.2,2.65,4.89
August,,,,,,,3.53,3.64,3.62,2.01,4.77,2.22,7.34,1.5,1.62,2.96,2.06,6.34,2.11,3.45,1.21,4.72,7.14,4.3,2.9,2.06,2.81,4.71,4.06,3.22,4.34
September,,,,,,,1.16,0.59,2.76,3.02,0.52,2.95,2.09,2.61,2.67,0.71,1.82,1.32,9.21,2.63,1.98,0.94,3.61,3.51,3.13,3.08,2,5.87,0.57,2.02,5.05
October,,,,,,,5.53,6.91,1.4,4.81,2.88,3,3.54,5.05,3.55,2.17,4.94,5.42,2.77,3.62,2.61,2.18,1.83,3.18,3.41,2.8,2.76,3.35,5.34,4.64,5.8
November,,,,,,,5.02,3.78,3.05,1.39,5.8,4.6,2.85,4.06,5.73,4.3,4.94,4.33,2.04,3.86,1.16,2.19,2.02,6.14,1.53,2.33,2.09,4.84,7.39,7.56,4.15
December,,,,,,,3.82,3.11,1.87,8.52,7.44,7.02,4.99,3.23,7.64,7.99,3.49,2.25,6.52,8.07,3.75,5.76,4.53,3.67,1.4,2.75,1.84,2.29,3.38,8.59,4.27
Total,,,,,,33.25,39.91,41.5,35.88,41.37,42.66,34.48,47.45,35.28,41.81,40.26,41.01,33.18,41.22,44,39.94,29.91,41.9,45.65,27.39,27.65,24.74,43.41,44.88,37.27,48.56
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is from 1950s record and is near Yorkshire Bridge and weirs. Altittudes match. Gauge moved 500 ft. SSE in 1937. Based on the descriptions on the records the NGR may be closer to the orignal position.Not sure if new gauge is in same position as old gauge. Therefore NGR is probably +/-200m N/S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
