NORTH SKELTON MINE,,,,,,,,,,,,,,,
Grid ref,NZ675182,Long,-0.958,Lat,54.555,Elevation,304,ft,,,,,,,
Station no,3478/8,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,2.02,5.63,0.86,1.19,1.51,2.77,0.81,2.35,2.08,3.94,1.48,2.45,2.98,5.55
February,,3.70,0.98,0.54,3.04,2.96,0.71,2.38,2.02,2.90,2.12,2.75,3.86,0.52,2.55
March,,3.35,1.27,1.43,0.71,4.03,1.51,0.17,1.90,1.94,0.59,0.82,4.59,0.76,1.37
April,,3.19,1.09,2.24,2.23,1.76,1.24,2.16,0.19,1.47,1.04,0.56,1.69,2.41,0.61
May,,2.70,1.30,1.16,2.09,5.86,1.52,1.60,2.21,1.87,0.43,0.85,2.58,0.72,0.93
June,,2.20,6.80,0.45,1.86,2.40,1.40,2.98,1.80,2.61,3.33,2.73,3.26,1.75,0.31
July,,2.43,1.27,1.75,3.23,1.83,1.70,2.83,1.14,0.99,3.81,3.22,2.33,2.98,5.16
August,,0.27,3.96,2.58,5.54,6.67,2.51,2.94,7.60,0.60,8.17,2.84,2.21,0.41,2.64
September,,1.37,1.34,0.50,2.53,0.77,5.95,1.39,1.22,0.94,1.46,3.61,1.62,0.93,2.82
October,,0.44,1.43,1.87,1.24,1.75,2.91,2.29,4.33,2.60,1.71,2.32,1.27,1.69,7.98
November,1.88,1.96,1.20,3.24,6.45,5.03,3.98,1.49,5.24,1.76,2.00,2.26,0.95,5.31,4.04
December,3.67,1.82,1.85,2.48,3.70,3.33,2.75,1.08,2.56,3.05,1.89,2.09,3.56,4.99,2.88
Total,,25.45,28.12,19.10,33.81,37.90,28.95,22.12,32.56,22.81,30.49,25.53,30.37,25.45,36.84
,,,,,,,,,,,,,,,
TYRain_1941-1950_22_pt1/242,,,,,,,,,,,,,,,
TYRain_1951-1960_22_pt1/063,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
# The station continued until 1964 according to MIDAS. (MIDAS src_id = 2081),,,,,,,,,,,,,,,
