KINGTON GOLF CLUB,,,,,,,,,,,,,,,,,,,,,
Grid ref,SO282584,Long,-3.0524182,Lat,52.219111,Elevation,1284,ft,,,,,,,,,,,,,
Station no,2247,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,,,,5.79,2.33,3.96,2.05,3.09,0.78,4.35,4.42,3.96,5.47,
February,,,,,,,,,2.84,,0.62,2.77,0.11,4.28,0.26,2.76,1.92,4.73,1.06,1.67,
March,,,,,,,,,3.08,,2.7,0.75,1.99,2.63,1.87,0.61,2.94,2.69,0.21,1.29,
April,,,,,,,,,1.65,,2.79,3.37,5.29,0.9,3.05,3.9,1.51,2.22,0.17,2.09,
May,,,,,,,,,0.78,,2.61,5.16,5.75,1.55,1.15,0.6,1.22,1.78,2.62,0.81,
June,,,,,,,,,4.26,,1.65,5.91,0.33,2,1.91,3.23,5.17,0.88,2.36,1.79,
July,,,,,,,,,1.12,,3.15,3.52,2.99,1.71,1.66,0.53,5.23,3.51,3.67,6.78,
August,,,,,,,,,3.45,,2.33,5.4,3.7,0.94,3.14,2.77,0.57,0.96,4.14,1.79,
September,,,,,,,,,2.04,,4.55,2.66,2.59,1.27,2.36,4.87,3.3,1.84,1.36,0.76,
October,,,,,,,,,5.37,,3.46,0.76,5.63,4.16,2.01,3.88,2.19,4.52,4.27,3.47,
November,,,,,,,,,6.37,,3.28,7.17,2.54,0.86,1.69,5.63,3.84,2.05,4.81,5.02,
December,,,,,,,,,2.94,,4.78,1.26,2.04,1.1,6.63,3.3,3.95,2.88,2.97,1.69,
Total,,,,,,,,,,,37.71,41.06,36.92,23.45,28.82,32.86,36.19,32.48,31.6,32.63,
,,,,,,,,,,,,,,,,,,,,,
1928 Jan 5.41 and tot estimated therefore removed,,,,,,,,,,,,,,,,,,,,,
